session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex,payload_bytes,freq_mhz,sf,bw_khz,cr,sent
HWS-002-FIFO,1,0,FIFO,limo02,1784022138059422368,1784022524189065060,0,0,386129642692,6,-83.21,1.21,0x99cfb390f25d04e7148b446878b798c76aaa7dec63e47df1e022c45370fd0b77819496cbf91c6ae8c53e321d32cfee39d4d078d5,52,868,7,125,4/5,0
HWS-002-FIFO,1,1,FIFO,limo01,1784022139292442680,1784022401083798919,0,0,261791356239,9,-96.58,-0.71,0x60c468e8df69d074961078d8da41d228845498b35b5f65e2908cd1ed13cdc2f3d59347bbad39f232449636e9ce84ad470fa7146f,52,868,7,125,4/5,0
HWS-002-FIFO,1,2,FIFO,limo01,1784022145313810926,1784022200780759429,0,0,55466948503,3,-88.35,4.45,0x50570119ddeee5cf2cb28699b303f171479663584ed6b9702ea5b19c33c57d4c95a0aeb3d445eb3ad4341f8b4b2203d6ee20e542,52,868,7,125,4/5,0
HWS-002-FIFO,1,3,FIFO,limo01,1784022149253074721,1784022336668052458,0,0,187414977737,9,-104.50,-4.43,0x309415c9e9c85ad68b291e269c3538b98b0ca1e26729bb8b48e9df65e465c21fda8f28ccccc4d06918cf460ebb5f436014c34178,52,868,7,125,4/5,0
HWS-002-FIFO,1,4,FIFO,limo01,1784022149930961538,1784022586213860678,0,0,436282899140,8,-86.13,9.69,0x2bfdeb3bf5704f8b594c8a0cf5151cfbf396440dd25aeb497a9cde0c9336fefaddf597117f91c715f8419049181ca03ac681e51c,52,868,7,125,4/5,0
HWS-002-FIFO,1,5,FIFO,limo01,1784022154943341049,1784022403486884219,0,0,248543543170,10,-91.79,10.97,0xb4a828a10d18970d95c30e44c17b191c8ba02d5dc8d7a0d1b483f5e8b06871de87f39571182bf8284149bae8e543d0ac46226857,52,868,7,125,4/5,0
HWS-002-FIFO,1,6,FIFO,limo01,1784022156301876122,1784022301418643902,0,0,145116767780,7,-81.14,0.17,0x7aceda0fcfaa799ba6a908493e51ba0b65a181f02af647c351442bc04b1149b8435837cf1c10768212ae5fb7eac4f9f69fe417d3,52,868,7,125,4/5,0
HWS-002-FIFO,1,7,FIFO,limo01,1784022163510420645,1784022386833791499,0,0,223323370854,0,-92.70,14.27,0x26d79ad9a167b3c50c75419e843aa81a599b9502ebf966b054ec426b5f955060749e978cca8c861e558cf21c407de03960e1d211,52,868,7,125,4/5,0
HWS-002-FIFO,1,8,FIFO,limo02,1784022164347006912,1784022522104285436,0,0,357757278524,6,-94.20,5.75,0x911fafb8f5f07abe14a5c3b6afca9611517f404df0daf3bc76ea99d54c938032bf55286950d178430004598e3180c30ea1b55514,52,868,7,125,4/5,0
HWS-002-FIFO,1,9,FIFO,limo02,1784022168554943791,1784022237172676598,1784022237172679713,1784022237343008970,68617732807,0,-94.12,4.01,0x1621736fd2f3de6425fdae208f47559f235fdec357b6f195af1f019c46d26bb8e776e0d435b8f120c0b90b3b8f67e35438f7e7d3,52,868,7,125,4/5,1
HWS-002-FIFO,1,10,FIFO,limo02,1784022173250289268,1784022305946570794,0,0,132696281526,3,-91.26,8.47,0x0a610819c5e8ed76970534360134370ba353260b9894fb4d59dd447f741bba9e5d2892f856c002e54c1bd43d0def3468fc6cb357,52,868,7,125,4/5,0
HWS-002-FIFO,1,11,FIFO,limo02,1784022176281311328,1784022303088188550,0,0,126806877222,1,-100.34,0.55,0xa28eeca4b1878a7a09e9fcd11a21195a9c36b5f0c109e3cc3fdf445ea38070084c17099416a08b9e2db6c22cb343f08cca3dc7ff,52,868,7,125,4/5,0
HWS-002-FIFO,1,12,FIFO,limo02,1784022177610178010,1784022273772562839,0,0,96162384829,4,-109.93,2.12,0x18f8365656a67682eacd95975a8117db8d313864b3ce6e13a900e3ddfc13e24c72e5d157100ca5bf145a6308c1ee49ace604aecd,52,868,7,125,4/5,0
HWS-002-FIFO,1,13,FIFO,limo02,1784022181337977901,1784022280192009396,0,0,98854031495,7,-95.76,2.26,0x36c44358726b66403f4072d916b1653fbbac22afb7a425429564d5a8ae7807bc405910939825dc0dbd387f1ef74007e09072fe79,52,868,7,125,4/5,0
HWS-002-FIFO,1,14,FIFO,limo02,1784022185517353457,1784022326560851742,0,0,141043498285,0,-108.02,8.73,0x497f4d063acdf7fcab1a447cd7d074298ee9ab290d82e7d6b84a3d5faeec5469968698353612de503237ada3eee67fb489f8eca1,52,868,7,125,4/5,0
HWS-002-FIFO,1,15,FIFO,limo01,1784022188609780666,1784022352046731063,0,0,163436950397,8,-90.07,10.71,0xca9dfdb1368ac751b2372741160a080d55e06299fb5aef3df06b0baab8e1ab1446e7dab02e6b8358dbd1d10a0481c33c2b601e1f,52,868,7,125,4/5,0
HWS-002-FIFO,1,16,FIFO,limo02,1784022194283659714,1784022349641049627,0,0,155357389913,7,-82.02,-3.28,0x2987726cc9a38dde2aff19bc37e4125536e9519fa7041693142916d58ec107f22c1902ab70da7737ae516679601550978a846b94,52,868,7,125,4/5,0
HWS-002-FIFO,1,17,FIFO,limo01,1784022198993558321,1784022341153749101,1784022341153752276,1784022341320290814,142160190780,0,-106.93,11.51,0x616734398e1dbb1e7ddc8dc8f27a4f6e9c726e1d6d7f3bdee0104fd19db8612740523e1dd7f488f88b3eb7d62acaac20d1ce0a06,52,868,7,125,4/5,1
HWS-002-FIFO,1,18,FIFO,limo02,1784022201733771988,1784022311665284020,0,0,109931512032,5,-98.80,0.79,0x7b42a5a5542a68d32cb520d13b077a544f74f7cc323d92b38e4c2fef80bb871ccadee396322833908ed9084a85bea99d7441469a,52,868,7,125,4/5,0
HWS-002-FIFO,1,19,FIFO,limo01,1784022204416881372,1784022340074872164,0,0,135657990792,10,-85.62,11.35,0x769f9d03dfc0253c3b1862d4dbb93cc71a81d42703dd50b4c8fb506e18fd6348627804c2969fe6652003e55f9743326965322eaa,52,868,7,125,4/5,0
HWS-002-FIFO,1,20,FIFO,limo01,1784022209375109588,1784022304256968380,0,0,94881858792,8,-93.26,-2.13,0xa0c0548fa635008d440e13dfb5e1343306ede22760f7ce7e88a00a3b2300732432198d1cdf20b9de7f2d469a7fa480b34f279785,52,868,7,125,4/5,0
HWS-002-FIFO,1,21,FIFO,limo01,1784022213110432621,1784022296447680653,0,0,83337248032,0,-87.10,3.10,0xaf98dcc3a0c0245fc43a3647aeab252931b0b2b13551b4d869b5b8ad69f01f39f3230048b19fe5fbd21d6a682b9136bc211447ea,52,868,7,125,4/5,0
HWS-002-FIFO,1,22,FIFO,limo02,1784022215730477635,1784022406426002506,0,0,190695524871,9,-107.73,6.34,0x2c854d2f344e7685f621ab21f5a2c229d8e9efc58ddd64fd5e2a3eb1ac52edccb3767147ddedc896ace74e5912d4fe2f9f5eac87,52,868,7,125,4/5,0
HWS-002-FIFO,1,23,FIFO,limo02,1784022218926029422,1784022338320337724,0,0,119394308302,5,-106.37,7.89,0x282423be39119bc3dcedeb10f8d6945178fd528b293048546b452184e3291b8c875495f41fa2ee1d11075245c1583ccef2332a0d,52,868,7,125,4/5,0
HWS-002-FIFO,1,24,FIFO,limo02,1784022223357369542,1784022340466993058,0,0,117109623516,10,-106.01,10.47,0xaa8343ef6d92d2e2ea0f0a8f5286a2fd2d35bf7d871c4cc458a654f4eda0a44c6795c7dad8bb49d578be1f6257be87df9cddafdf,52,868,7,125,4/5,0
HWS-002-FIFO,1,25,FIFO,limo01,1784022226032158126,1784022521477870508,0,0,295445712382,7,-82.96,10.98,0xc1f791066313fc7e9df89d41bbc8a4d39cd8a22503bd7e99ab2c2bf6f72376101020a2514648bc2ef9ea559bedac5d64cbc74957,52,868,7,125,4/5,0
