session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex,payload_bytes,freq_mhz,sf,bw_khz,cr,sent
HWS-003-BACS,1,0,BACS,limo01,1784110421407946269,1784110549121689658,0,0,127713743389,0,-92.22,-1.65,0x8ee9437a8d223e961245a6578df47f0d2e508e533f515ef4dd3acf3f49148581e2cee9203fe0f6596cbcf918d3b744c31ea186b6,52,868,7,125,4/5,0
HWS-003-BACS,1,1,BACS,limo01,1784110423804136293,1784110629913857786,0,0,206109721493,10,-80.79,13.23,0x57b80378069f49f109d5b18736c123bb688c7ce96a307db0dc9e943b1915650e0de4403c7c8f25db6eea9366d757812ccb37b168,52,868,7,125,4/5,0
HWS-003-BACS,1,2,BACS,limo02,1784110430935252375,1784110495006266439,0,0,64071014064,9,-105.37,14.41,0x26e2e7d17ea2bb7f0a3f746a10bc27da1475c10845885c5e4ac716f001ffb4725b49fa24ae7d04744ea3bd66bc75a310f688e64c,52,868,7,125,4/5,0
HWS-003-BACS,1,3,BACS,limo02,1784110431641997305,1784110656341312882,0,0,224699315577,0,-91.87,7.29,0x0bbf3e96ac2acb79b5a22c2aa1382660bc2b9f6d0b88b248e1f628b8f83d1d4b427d0b0399ae3dc06a26361dc25b3ef05aff99ca,52,868,7,125,4/5,0
HWS-003-BACS,1,4,BACS,limo02,1784110435798889329,1784110767792944779,0,0,331994055450,2,-87.08,5.54,0x24b760fcd50db30d7223d09999701e3ae2abaf4d52740b9c90f00e1215f4f88a4b39bb974bcc98546db5d51e33e2261dbd51bad3,52,868,7,125,4/5,0
HWS-003-BACS,1,5,BACS,limo02,1784110440356922040,1784110618807526980,0,0,178450604940,7,-82.10,13.53,0xb68124bd8fb001947c6c2559efb2a4d5e1b4232b10972dfca956e189f9ddc7c64d08a7216bda2532e32b6308fdf9fd2234f119f4,52,868,7,125,4/5,0
HWS-003-BACS,1,6,BACS,limo02,1784110444875461560,1784110606674520496,0,0,161799058936,7,-81.53,4.32,0x36744c28527755dd454bd80d2f8216f5cff3cf36be5c3ffbf0832d3104441387f8e1fe5a11211433ebb1053e09446357f728144d,52,868,7,125,4/5,0
HWS-003-BACS,1,7,BACS,limo01,1784110445472415771,1784110555790969832,0,0,110318554061,8,-84.15,1.90,0x4d853c164a0763234917351209a07611ab5292a9c2a8a193790912c2de7e1c8d52045d5cc075d4cf4bf112c6691015d76d2df29b,52,868,7,125,4/5,0
HWS-003-BACS,1,8,BACS,limo01,1784110451888394559,1784110570284038678,0,0,118395644119,0,-106.20,-2.02,0x323a53a34e373c48000bcad684ba1db11e0a21f735eff134ede4a150fbc3cef9418cdc849f46e530535fbae04bf5edd094f7e9bc,52,868,7,125,4/5,0
HWS-003-BACS,1,9,BACS,limo01,1784110455510806603,1784110511005125843,0,0,55494319240,4,-103.43,11.38,0x3c1c022aca42c4832eb9fea6e317d16a638c7f185674eb48bb74b4dd0d20adcb8abef2ff177f837cda3edc9733bc7edbde62c7a9,52,868,7,125,4/5,0
HWS-003-BACS,1,10,BACS,limo02,1784110455401719837,1784110580681188269,0,0,125279468432,6,-87.37,-2.80,0x9a25c5db386e71bd196b0ac2d6fc2edb9aac8f28820e35f7437b67e70ec0d3674c990a97a33d6d247335d4c851aac057a807636e,52,868,7,125,4/5,0
HWS-003-BACS,1,11,BACS,limo01,1784110460217881478,1784110662722669604,0,0,202504788126,5,-88.45,7.11,0x02239cfa1c6ea2613bd778bfe974a5581af9acc20ae10b5d45317fad7769d56ce76da00b7b4f239ee2f48d47c687117906c11bde,52,868,7,125,4/5,0
