session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex,payload_bytes,freq_mhz,sf,bw_khz,cr,sent
HWS-005-BACS+,1,0,BACS+,limo02,1784195706397500912,1784195979613769609,0,0,273216268697,5,-83.45,1.52,0xc0ebc8a5b44f5eef9f37d859bf8716ab6c5b272ac4fb66033fc901b9e4de9b34e80d3f304c4eba85a14df81f8d39ecee5258c5c6,52,868,7,125,4/5,0
HWS-005-BACS+,1,1,BACS+,limo02,1784195711860251356,1784195885672500245,0,0,173812248889,2,-103.39,14.49,0xd1b7caacda33f0b14f510ce683567df0bdf4c6f7a13055b38cb861391370fd5803727e895f61d2ef966c4aacb3ea2182fead07ea,52,868,7,125,4/5,0
HWS-005-BACS+,1,2,BACS+,limo02,1784195716772227320,1784195845294320894,0,0,128522093574,2,-96.77,5.66,0x8cb01a6caa3f4bceab616dc8b0ed9fb57f8842f7437bbab0e73723ea53d2bdf83f599114e4fba50d6b60fae401982c047a7d3be1,52,868,7,125,4/5,0
HWS-005-BACS+,1,3,BACS+,limo02,1784195719041875681,1784195802894742862,0,0,83852867181,9,-87.78,6.34,0xd97f28e383e043d39d745baddbe6907c0f83f7485a665b57ac87319c663cc3de9e67a829eb03fe2b5b953bb296ef0325f2cc4ac5,52,868,7,125,4/5,0
HWS-005-BACS+,1,4,BACS+,limo02,1784195720198882460,1784195819024342536,0,0,98825460076,1,-87.77,5.35,0x82d64c60929266843ce85eabe0e22c7331e0f6b18f38065f1c06f1c0d50b82adc6a986698db585a55d079d96d79bd7217afa2d78,52,868,7,125,4/5,0
HWS-005-BACS+,1,5,BACS+,limo01,1784195725301895619,1784195902900348177,0,0,177598452558,3,-100.85,-4.89,0x4abd43f1b1ce3e44e2fbab9306002db84aba5f856d316c9ab510ce7b2112c77f13cbdb28e59f1c275c05ccc35d20537c9ac9f46d,52,868,7,125,4/5,0
HWS-005-BACS+,1,6,BACS+,limo01,1784195727317058651,1784195826623417092,0,0,99306358441,2,-92.80,14.37,0x991724bb1f632295bdf60f834c04be661cc30a90c83a990ec3df2cd3084c4372fc7177d30a9e385cb61ecff13e6f8a63afdbc373,52,868,7,125,4/5,0
HWS-005-BACS+,1,7,BACS+,limo02,1784195730665135306,1784195796119380964,0,0,65454245658,4,-105.07,9.41,0x5c85dadecac93f3fba984472c5230977391ed1818640ec354869725dbe04330a59751949278b03e19d0b1eb249e2175cef5b71a8,52,868,7,125,4/5,0
HWS-005-BACS+,1,8,BACS+,limo01,1784195735269788520,1784195951077691376,0,0,215807902856,7,-90.23,0.43,0xb64a0c2e521f002fa6bbfa747b0cba5ca55bf339cde56a8af62716b21510d4db624a4030f9635d1b6c3885c88b29e82bab6cecdb,52,868,7,125,4/5,0
HWS-005-BACS+,1,9,BACS+,limo02,1784195738962956405,1784195876429387716,0,0,137466431311,7,-86.62,8.26,0xc5f6cef77d22d5f199952d88c1466ec1bdbbf2219f0a28a7047bdc5b5f34c322757c71f2cba9c097d13c16b26eb59249e5a4f886,52,868,7,125,4/5,0
