session,stamp_ns,robot,est_x,est_y,vicon_x,vicon_y
HWS-108-BACS,0,limo01,4.840149102585307,5.0,5.0,5.0
HWS-108-BACS,0,limo02,5.0,5.0,5.0,5.0
HWS-108-BACS,100000000,limo01,5.3387060590113204,5.0,5.01,5.0
HWS-108-BACS,100000000,limo02,5.01,5.0,5.01,5.0
HWS-108-BACS,200000000,limo01,4.515203169750446,5.0,5.02,5.0
HWS-108-BACS,200000000,limo02,5.02,5.0,5.02,5.0
HWS-108-BACS,300000000,limo01,5.018137726301294,5.0,5.03,5.0
HWS-108-BACS,300000000,limo02,5.03,5.0,5.03,5.0
HWS-108-BACS,400000000,limo01,5.105480265794404,5.0,5.04,5.0
HWS-108-BACS,400000000,limo02,5.04,5.0,5.04,5.0
HWS-108-BACS,500000000,limo01,4.800962577397153,5.0,5.05,5.0
HWS-108-BACS,500000000,limo02,5.05,5.0,5.05,5.0
HWS-108-BACS,600000000,limo01,5.3740729221484305,5.0,5.06,5.0
HWS-108-BACS,600000000,limo02,5.06,5.0,5.06,5.0
HWS-108-BACS,700000000,limo01,5.275365480555348,5.0,5.07,5.0
HWS-108-BACS,700000000,limo02,5.07,5.0,5.07,5.0
HWS-108-BACS,800000000,limo01,4.955284620434108,5.0,5.08,5.0
HWS-108-BACS,800000000,limo02,5.08,5.0,5.08,5.0
HWS-108-BACS,900000000,limo01,5.007700182068491,5.0,5.09,5.0
HWS-108-BACS,900000000,limo02,5.09,5.0,5.09,5.0
HWS-108-BACS,1000000000,limo01,5.06430673377611,5.0,5.1,5.0
HWS-108-BACS,1000000000,limo02,5.1,5.0,5.1,5.0
HWS-108-BACS,1100000000,limo01,5.310759703890703,5.0,5.11,5.0
HWS-108-BACS,1100000000,limo02,5.11,5.0,5.11,5.0
HWS-108-BACS,1200000000,limo01,5.0345588497849985,5.0,5.12,5.0
HWS-108-BACS,1200000000,limo02,5.12,5.0,5.12,5.0
HWS-108-BACS,1300000000,limo01,4.767131157654586,5.0,5.13,5.0
HWS-108-BACS,1300000000,limo02,5.13,5.0,5.13,5.0
HWS-108-BACS,1400000000,limo01,4.825684936893258,5.0,5.14,5.0
HWS-108-BACS,1400000000,limo02,5.14,5.0,5.14,5.0
HWS-108-BACS,1500000000,limo01,5.265866409264273,5.0,5.15,5.0
HWS-108-BACS,1500000000,limo02,5.15,5.0,5.15,5.0
HWS-108-BACS,1600000000,limo01,5.551424032052402,5.0,5.16,5.0
HWS-108-BACS,1600000000,limo02,5.16,5.0,5.16,5.0
HWS-108-BACS,1700000000,limo01,5.3872438112362175,5.0,5.17,5.0
HWS-108-BACS,1700000000,limo02,5.17,5.0,5.17,5.0
HWS-108-BACS,1800000000,limo01,4.85786002164889,5.0,5.18,5.0
HWS-108-BACS,1800000000,limo02,5.18,5.0,5.18,5.0
HWS-108-BACS,1900000000,limo01,5.204398089306507,5.0,5.19,5.0
HWS-108-BACS,1900000000,limo02,5.19,5.0,5.19,5.0
HWS-108-BACS,2000000000,limo01,5.108145043687612,5.0,5.2,5.0
HWS-108-BACS,2000000000,limo02,5.2,5.0,5.2,5.0
HWS-108-BACS,2100000000,limo01,5.08917734088396,5.0,5.21,5.0
HWS-108-BACS,2100000000,limo02,5.21,5.0,5.21,5.0
HWS-108-BACS,2200000000,limo01,5.038037923481943,5.0,5.22,5.0
HWS-108-BACS,2200000000,limo02,5.22,5.0,5.22,5.0
HWS-108-BACS,2300000000,limo01,5.395822825020275,5.0,5.23,5.0
