session,stamp_ns,robot,est_x,est_y,vicon_x,vicon_y
HWS-113-FIFO,0,limo01,5.5871739905755815,5.0,5.0,5.0
HWS-113-FIFO,0,limo02,5.0,5.0,5.0,5.0
HWS-113-FIFO,100000000,limo01,4.696927199312917,5.0,5.01,5.0
HWS-113-FIFO,100000000,limo02,5.01,5.0,5.01,5.0
HWS-113-FIFO,200000000,limo01,3.9328172836263295,5.0,5.02,5.0
HWS-113-FIFO,200000000,limo02,5.02,5.0,5.02,5.0
HWS-113-FIFO,300000000,limo01,4.3563518547346165,5.0,5.03,5.0
HWS-113-FIFO,300000000,limo02,5.03,5.0,5.03,5.0
HWS-113-FIFO,400000000,limo01,5.108862634493585,5.0,5.04,5.0
HWS-113-FIFO,400000000,limo02,5.04,5.0,5.04,5.0
HWS-113-FIFO,500000000,limo01,4.998592652378559,5.0,5.05,5.0
HWS-113-FIFO,500000000,limo02,5.05,5.0,5.05,5.0
HWS-113-FIFO,600000000,limo01,5.395684164737736,5.0,5.06,5.0
HWS-113-FIFO,600000000,limo02,5.06,5.0,5.06,5.0
HWS-113-FIFO,700000000,limo01,5.654743872134175,5.0,5.07,5.0
HWS-113-FIFO,700000000,limo02,5.07,5.0,5.07,5.0
HWS-113-FIFO,800000000,limo01,4.818659835428817,5.0,5.08,5.0
HWS-113-FIFO,800000000,limo02,5.08,5.0,5.08,5.0
HWS-113-FIFO,900000000,limo01,4.9757822812640535,5.0,5.09,5.0
HWS-113-FIFO,900000000,limo02,5.09,5.0,5.09,5.0
HWS-113-FIFO,1000000000,limo01,5.7101978076638265,5.0,5.1,5.0
HWS-113-FIFO,1000000000,limo02,5.1,5.0,5.1,5.0
HWS-113-FIFO,1100000000,limo01,4.413167448099338,5.0,5.11,5.0
HWS-113-FIFO,1100000000,limo02,5.11,5.0,5.11,5.0
HWS-113-FIFO,1200000000,limo01,4.901030479955165,5.0,5.12,5.0
HWS-113-FIFO,1200000000,limo02,5.12,5.0,5.12,5.0
HWS-113-FIFO,1300000000,limo01,5.3386309510931484,5.0,5.13,5.0
HWS-113-FIFO,1300000000,limo02,5.13,5.0,5.13,5.0
HWS-113-FIFO,1400000000,limo01,5.455438626543345,5.0,5.14,5.0
HWS-113-FIFO,1400000000,limo02,5.14,5.0,5.14,5.0
HWS-113-FIFO,1500000000,limo01,4.5716488083440785,5.0,5.15,5.0
HWS-113-FIFO,1500000000,limo02,5.15,5.0,5.15,5.0
HWS-113-FIFO,1600000000,limo01,4.780288322182205,5.0,5.16,5.0
HWS-113-FIFO,1600000000,limo02,5.16,5.0,5.16,5.0
HWS-113-FIFO,1700000000,limo01,4.612341475641995,5.0,5.17,5.0
HWS-113-FIFO,1700000000,limo02,5.17,5.0,5.17,5.0
HWS-113-FIFO,1800000000,limo01,5.5611055533767475,5.0,5.18,5.0
HWS-113-FIFO,1800000000,limo02,5.18,5.0,5.18,5.0
HWS-113-FIFO,1900000000,limo01,4.454354314457007,5.0,5.19,5.0
HWS-113-FIFO,1900000000,limo02,5.19,5.0,5.19,5.0
HWS-113-FIFO,2000000000,limo01,4.75039005544369,5.0,5.2,5.0
HWS-113-FIFO,2000000000,limo02,5.2,5.0,5.2,5.0
HWS-113-FIFO,2100000000,limo01,4.579301449793636,5.0,5.21,5.0
HWS-113-FIFO,2100000000,limo02,5.21,5.0,5.21,5.0
HWS-113-FIFO,2200000000,limo01,5.066300871287389,5.0,5.22,5.0
HWS-113-FIFO,2200000000,limo02,5.22,5.0,5.22,5.0
HWS-113-FIFO,2300000000,limo01,4.9783024772733215,5.0,5.23,5.0
HWS-113-FIFO,2300000000,limo02,5.23,5.0,5.23,5.0
HWS-113-FIFO,2400000000,limo01,4.8373872039013746,5.0,5.24,5.0
HWS-113-FIFO,2400000000,limo02,5.24,5.0,5.24,5.0
HWS-113-FIFO,2500000000,limo01,5.134595240214401,5.0,5.25,5.0
HWS-113-FIFO,2500000000,limo02,5.25,5.0,5.25,5.0
HWS-113-FIFO,2600000000,limo01,5.456838176070542,5.0,5.26,5.0
HWS-113-FIFO,2600000000,limo02,5.26,5.0,5.26,5.0
HWS-113-FIFO,2700000000,limo01,5.628096000320532,5.0,5.27,5.0
HWS-113-FIFO,2700000000,limo02,5.27,5.0,5.27,5.0
HWS-113-FIFO,2800000000,limo01,5.527517772650442,5.0,5.28,5.0
HWS-113-FIFO,2800000000,limo02,5.28,5.0,5.28,5.0
HWS-113-FIFO,2900000000,limo01,5.557728595940704,5.0,5.29,5.0
HWS-113-FIFO,2900000000,limo02,5.29,5.0,5.29,5.0
HWS-113-FIFO,3000000000,limo01,5.589959467847332,5.0,5.3,5.0
HWS-113-FIFO,3000000000,limo02,5.3,5.0,5.3,5.0
HWS-113-FIFO,3100000000,limo01,5.066252236392022,5.0,5.31,5.0
HWS-113-FIFO,3100000000,limo02,5.31,5.0,5.31,5.0
HWS-113-FIFO,3200000000,limo01,4.800008873048522,5.0,5.32,5.0
HWS-113-FIFO,3200000000,limo02,5.32,5.0,5.32,5.0
HWS-113-FIFO,3300000000,limo01,5.311988931844256,5.0,5.33,5.0
HWS-113-FIFO,3300000000,limo02,5.33,5.0,5.33,5.0
HWS-113-FIFO,3400000000,limo01,5.2536827319555215,5.0,5.34,5.0
HWS-113-FIFO,3400000000,limo02,5.34,5.0,5.34,5.0
HWS-113-FIFO,3500000000,limo01,5.482026088743866,5.0,5.35,5.0
HWS-113-FIFO,3500000000,limo02,5.35,5.0,5.35,5.0
HWS-113-FIFO,3600000000,limo01,5.843190435985485,5.0,5.36,5.0
HWS-113-FIFO,3600000000,limo02,5.36,5.0,5.36,5.0
HWS-113-FIFO,3700000000,limo01,5.340925967496294,5.0,5.37,5.0
HWS-113-FIFO,3700000000,limo02,5.37,5.0,5.37,5.0
HWS-113-FIFO,3800000000,limo01,4.959857018252767,5.0,5.38,5.0
HWS-113-FIFO,3800000000,limo02,5.38,5.0,5.38,5.0
HWS-113-FIFO,3900000000,limo01,4.930342463261362,5.0,5.39,5.0
HWS-113-FIFO,3900000000,limo02,5.39,5.0,5.39,5.0
HWS-113-FIFO,4000000000,limo01,5.605853880569634,5.0,5.4,5.0
HWS-113-FIFO,4000000000,limo02,5.4,5.0,5.4,5.0
HWS-113-FIFO,4100000000,limo01,5.178095716517927,5.0,5.41,5.0
HWS-113-FIFO,4100000000,limo02,5.41,5.0,5.41,5.0
HWS-113-FIFO,4200000000,limo01,5.3872154231381675,5.0,5.42,5.0
