session,stamp_ns,robot,est_x,est_y,vicon_x,vicon_y
HWS-127-BACS+,0,limo01,4.9383399250369555,5.0,5.0,5.0
HWS-127-BACS+,0,limo02,5.0,5.0,5.0,5.0
HWS-127-BACS+,100000000,limo01,5.551650589784112,5.0,5.01,5.0
HWS-127-BACS+,100000000,limo02,5.01,5.0,5.01,5.0
HWS-127-BACS+,200000000,limo01,4.746958845167412,5.0,5.02,5.0
HWS-127-BACS+,200000000,limo02,5.02,5.0,5.02,5.0
HWS-127-BACS+,300000000,limo01,4.683077486917051,5.0,5.03,5.0
HWS-127-BACS+,300000000,limo02,5.03,5.0,5.03,5.0
HWS-127-BACS+,400000000,limo01,5.093245579530142,5.0,5.04,5.0
HWS-127-BACS+,400000000,limo02,5.04,5.0,5.04,5.0
HWS-127-BACS+,500000000,limo01,4.83336339510262,5.0,5.05,5.0
HWS-127-BACS+,500000000,limo02,5.05,5.0,5.05,5.0
HWS-127-BACS+,600000000,limo01,5.133281003222546,5.0,5.06,5.0
HWS-127-BACS+,600000000,limo02,5.06,5.0,5.06,5.0
HWS-127-BACS+,700000000,limo01,5.526168590307004,5.0,5.07,5.0
HWS-127-BACS+,700000000,limo02,5.07,5.0,5.07,5.0
HWS-127-BACS+,800000000,limo01,4.537414942630332,5.0,5.08,5.0
HWS-127-BACS+,800000000,limo02,5.08,5.0,5.08,5.0
HWS-127-BACS+,900000000,limo01,4.853811713327801,5.0,5.09,5.0
HWS-127-BACS+,900000000,limo02,5.09,5.0,5.09,5.0
HWS-127-BACS+,1000000000,limo01,5.44746258259741,5.0,5.1,5.0
HWS-127-BACS+,1000000000,limo02,5.1,5.0,5.1,5.0
HWS-127-BACS+,1100000000,limo01,5.3256114631372125,5.0,5.11,5.0
HWS-127-BACS+,1100000000,limo02,5.11,5.0,5.11,5.0
HWS-127-BACS+,1200000000,limo01,5.1968086502937,5.0,5.12,5.0
HWS-127-BACS+,1200000000,limo02,5.12,5.0,5.12,5.0
HWS-127-BACS+,1300000000,limo01,5.766890053380487,5.0,5.13,5.0
HWS-127-BACS+,1300000000,limo02,5.13,5.0,5.13,5.0
HWS-127-BACS+,1400000000,limo01,5.480129018912624,5.0,5.14,5.0
HWS-127-BACS+,1400000000,limo02,5.14,5.0,5.14,5.0
HWS-127-BACS+,1500000000,limo01,5.612455823750356,5.0,5.15,5.0
HWS-127-BACS+,1500000000,limo02,5.15,5.0,5.15,5.0
HWS-127-BACS+,1600000000,limo01,4.9124883029638795,5.0,5.16,5.0
HWS-127-BACS+,1600000000,limo02,5.16,5.0,5.16,5.0
HWS-127-BACS+,1700000000,limo01,5.292935223510904,5.0,5.17,5.0
HWS-127-BACS+,1700000000,limo02,5.17,5.0,5.17,5.0
HWS-127-BACS+,1800000000,limo01,5.176612703728141,5.0,5.18,5.0
HWS-127-BACS+,1800000000,limo02,5.18,5.0,5.18,5.0
HWS-127-BACS+,1900000000,limo01,4.39692055330614,5.0,5.19,5.0
HWS-127-BACS+,1900000000,limo02,5.19,5.0,5.19,5.0
HWS-127-BACS+,2000000000,limo01,4.629025647134164,5.0,5.2,5.0
HWS-127-BACS+,2000000000,limo02,5.2,5.0,5.2,5.0
HWS-127-BACS+,2100000000,limo01,5.076486840874202,5.0,5.21,5.0
HWS-127-BACS+,2100000000,limo02,5.21,5.0,5.21,5.0
HWS-127-BACS+,2200000000,limo01,5.386688990876811,5.0,5.22,5.0
HWS-127-BACS+,2200000000,limo02,5.22,5.0,5.22,5.0
HWS-127-BACS+,2300000000,limo01,5.501939900427944,5.0,5.23,5.0
HWS-127-BACS+,2300000000,limo02,5.23,5.0,5.23,5.0
HWS-127-BACS+,2400000000,limo01,4.619700111939384,5.0,5.24,5.0
HWS-127-BACS+,2400000000,limo02,5.24,5.0,5.24,5.0
HWS-127-BACS+,2500000000,limo01,4.935236272853073,5.0,5.25,5.0
HWS-127-BACS+,2500000000,limo02,5.25,5.0,5.25,5.0
HWS-127-BACS+,2600000000,limo01,5.4389052320581905,5.0,5.26,5.0
