policy,run,median_packet_age,median_t_defer,median_t_channel,generated,transmitted,airtime_util
BACS,120,154.46852971491717,154.29752971491718,0.1699999999999875,4200,28,39.93888888888888
BACS+,103,155.7027166181503,155.5317166181503,0.1699999999999875,4200,28,39.93888888888888
BACS+,109,156.59193642251722,156.42093642251723,0.1699999999999875,4200,28,39.93888888888888
BACS,126,155.14706785554768,154.97606785554768,0.1699999999999875,4200,28,39.93888888888888
BACS,111,155.58161994279348,155.4106199427935,0.1699999999999875,4200,28,39.93888888888888
BACS+,118,156.88896783461732,156.71796783461733,0.1699999999999875,4200,28,39.93888888888888
FIFO,104,154.57733021316386,154.40633021316387,0.1699999999999875,4200,28,39.93888888888888
BACS,123,156.28183314785858,156.11083314785859,0.1699999999999875,4200,28,39.93888888888888
FIFO,101,156.26959826159737,156.09859826159737,0.1699999999999875,4200,28,39.93888888888888
BACS+,121,156.21482929201483,156.04382929201483,0.1699999999999875,4200,28,39.93888888888888
BACS+,127,154.54467185131006,154.37367185131006,0.1699999999999875,4200,28,39.93888888888888
FIFO,113,154.95432266047703,154.78332266047704,0.1699999999999875,4200,28,39.93888888888888
BACS,108,154.99098890576113,154.81998890576114,0.1699999999999875,4200,28,39.93888888888888
FIFO,122,155.32870788357332,155.15770788357332,0.1699999999999875,4200,28,39.93888888888888
FIFO,116,155.38430261366025,155.21330261366026,0.1699999999999875,4200,28,39.93888888888888
FIFO,128,154.57429911336345,154.40329911336346,0.1699999999999875,4200,28,39.93888888888888
BACS,102,154.13689974775275,153.96589974775276,0.1699999999999875,4200,28,39.93888888888888
BACS,117,155.04655407573716,154.87555407573717,0.1699999999999875,4200,28,39.93888888888888
FIFO,107,155.9168398134393,155.74583981343932,0.1699999999999875,4200,28,39.93888888888888
BACS+,106,154.399499511097,154.228499511097,0.1699999999999875,4200,28,39.93888888888888
BACS,105,155.10363153621142,154.93263153621143,0.1699999999999875,4200,28,39.93888888888888
BACS+,115,156.63603398112542,156.46503398112543,0.1699999999999875,4200,28,39.93888888888888
FIFO,110,156.01592313404103,155.84492313404104,0.1699999999999875,4200,28,39.93888888888888
BACS+,112,153.9218254869993,153.7508254869993,0.1699999999999875,4200,28,39.93888888888888
BACS,129,154.2276701758373,154.0566701758373,0.1699999999999875,4200,28,39.93888888888888
BACS+,124,154.40503497422247,154.23403497422248,0.1699999999999875,4200,28,39.93888888888888
BACS,114,156.26721246113863,156.09621246113863,0.1699999999999875,4200,28,39.93888888888888
FIFO,119,154.11943157050837,153.94843157050838,0.1699999999999875,4200,28,39.93888888888888
FIFO,125,154.298144766063,154.127144766063,0.1699999999999875,4200,28,39.93888888888888
BACS+,130,153.83934362312752,153.66834362312753,0.1699999999999875,4200,28,39.93888888888888
