policy,run,rmse
FIFO,101,0.555
BACS,101,0.243
BACS+,101,0.336
FIFO,102,0.459
BACS,102,0.243
BACS+,102,0.265
FIFO,103,0.577
BACS,103,0.299
BACS+,103,0.415
FIFO,104,0.708
BACS,104,0.127
BACS+,104,0.509
FIFO,105,0.445
BACS,105,0.142
BACS+,105,0.291
FIFO,106,0.445
BACS,106,0.235
BACS+,106,0.204
FIFO,107,0.717
BACS,107,0.199
BACS+,107,0.541
FIFO,108,0.595
BACS,108,0.305
BACS+,108,0.379
FIFO,109,0.41
BACS,109,0.207
BACS+,109,0.228
FIFO,110,0.561
BACS,110,0.167
BACS+,110,0.359
