policy,run,packets_generated_per_run,packets_sent_per_run,payload_bytes_mean,packets_received_per_run,rssi_dbm_mean,snr_db_mean,airtime_s,transmitters,airtime_fraction_of_run,airtime_fraction_of_duty_budget
BACS,1,204,14,52.0,14,-96.32285714285715,3.704285714285714,1.4371840000000002,2,0.002008618757795414,0.10043093788977069
BACS,10,217,14,52.0,14,-97.30428571428571,8.265,1.4371840000000002,2,0.0020048021129476573,0.10024010564738287
BACS,2,201,14,52.0,14,-94.20142857142856,6.245,1.4371840000000002,2,0.002003687883929781,0.10018439419648906
BACS,3,200,12,52.0,12,-96.70333333333333,6.064166666666666,1.231872,2,0.001717551456373936,0.0858775728186968
BACS,4,203,13,52.0,13,-97.0576923076923,6.043846153846155,1.3345280000000002,2,0.0018617708963140113,0.09308854481570057
BACS,5,201,14,52.0,14,-92.90428571428572,2.8792857142857144,1.4371840000000002,2,0.0020109134829976462,0.1005456741498823
BACS,6,204,16,52.0,16,-95.9575,4.2175,1.6424960000000004,2,0.002288679215917965,0.11443396079589825
BACS,7,210,13,52.0,13,-94.96076923076923,3.7853846153846153,1.3345280000000002,2,0.0018602258880288576,0.09301129440144287
BACS,8,212,14,52.0,14,-98.85214285714287,5.401428571428572,1.4371840000000002,2,0.002011455526363493,0.10057277631817464
BACS,9,204,15,52.0,15,-92.78533333333333,3.380666666666667,1.5398400000000003,2,0.0021534342704253953,0.10767171352126977
BACS+,1,208,12,52.0,12,-95.52749999999999,7.297499999999999,1.231872,2,0.0017115732827342825,0.08557866413671411
BACS+,10,211,12,52.0,12,-98.88,4.79,1.231872,2,0.0017195750117977094,0.08597875058988547
BACS+,2,208,12,52.0,12,-94.13499999999999,2.3941666666666666,1.231872,2,0.0017178581433955641,0.08589290716977821
BACS+,3,201,16,52.0,16,-92.31875000000001,3.535,1.6424960000000004,2,0.002302685530073325,0.11513427650366626
BACS+,4,202,12,52.0,12,-94.08666666666666,4.1258333333333335,1.231872,2,0.0017198614207721747,0.08599307103860873
BACS+,5,213,15,52.0,15,-95.50133333333333,4.4,1.5398400000000003,2,0.002155060585111669,0.10775302925558344
BACS+,6,219,12,52.0,12,-96.71916666666668,5.801666666666667,1.231872,2,0.0017174260124128604,0.08587130062064302
BACS+,7,212,16,52.0,16,-97.44375,3.086875,1.6424960000000004,2,0.0022977097463674763,0.11488548731837381
BACS+,8,209,14,52.0,14,-94.48,3.625,1.4371840000000002,2,0.001998057572253626,0.0999028786126813
BACS+,9,207,16,52.0,16,-92.865,4.7231250000000005,1.6424960000000004,2,0.0022961133548841024,0.11480566774420513
FIFO,1,204,14,52.0,14,-98.61785714285715,5.852142857142857,1.4371840000000002,2,0.002005478939127123,0.10027394695635616
FIFO,10,215,15,52.0,15,-92.934,5.2459999999999996,1.5398400000000003,2,0.0021522842480841595,0.10761421240420797
FIFO,2,205,12,52.0,12,-93.48,6.084166666666667,1.231872,2,0.001717263734015612,0.08586318670078061
FIFO,3,208,13,52.0,13,-95.25384615384615,3.990769230769231,1.3345280000000002,2,0.001858771361287493,0.09293856806437464
FIFO,4,211,13,52.0,13,-92.56384615384614,4.204615384615384,1.3345280000000002,2,0.0018631652528160157,0.09315826264080078
FIFO,5,211,15,52.0,15,-93.34933333333333,4.647333333333334,1.5398400000000003,2,0.0021448208619984812,0.10724104309992405
FIFO,6,211,15,52.0,15,-93.61733333333333,6.298666666666667,1.5398400000000003,2,0.0021371470119048606,0.10685735059524304
FIFO,7,205,15,52.0,15,-93.38866666666667,3.71,1.5398400000000003,2,0.002141368745656685,0.10706843728283426
FIFO,8,201,15,52.0,15,-94.67666666666668,4.332,1.5398400000000003,2,0.0021421713055832575,0.10710856527916288
FIFO,9,215,14,52.0,14,-95.17,3.962857142857143,1.4371840000000002,2,0.0020087391198447806,0.10043695599223904
