policy,metric,n,mean,std,median,min,max,p5,p25,p75,p95,p99,status
BACS,packet_count,10,13.9,1.1005049346146119,14.0,12.0,16.0,12.45,13.25,14.0,15.549999999999999,15.91,COMPUTED
BACS,rssi_dbm_mean,10,-95.70496282051282,1.9696935182185424,-96.14017857142858,-98.85214285714287,-92.78533333333333,-98.15560714285715,-96.96910256410257,-94.39126373626374,-92.8388619047619,-92.79603904761905,COMPUTED
BACS,snr_db_mean,10,4.998656410256411,1.6825768647390098,4.809464285714286,2.8792857142857144,8.265,3.104907142857143,3.7245604395604395,6.059086538461538,7.355999999999998,8.083200000000001,COMPUTED
BACS,airtime_utilisation,10,0.0019921139491094154,0.0001581273787858367,0.002006710435371535,0.001717551456373936,0.0022886792159179646,0.0017817549506186506,0.0018972501432179536,0.0020113200155220307,0.002227818990446308,0.002276507170823633,COMPUTED
BACS+,packet_count,10,13.7,1.888562063228706,13.0,12.0,16.0,12.0,12.0,15.75,16.0,16.0,COMPUTED
BACS+,rssi_dbm_mean,10,-95.19571666666667,2.047451495981055,-94.99066666666667,-98.88,-92.31875000000001,-98.2336875,-96.42125000000001,-94.09875,-92.56456250000001,-92.3679125,COMPUTED
BACS+,snr_db_mean,10,4.377916666666667,1.4056825432589106,4.262916666666667,2.3941666666666666,7.297499999999999,2.705885416666667,3.5575,4.77328125,6.624374999999998,7.162875,COMPUTED
BACS+,airtime_utilisation,10,0.0019635920659802786,0.0002745668868408662,0.0018589594965129001,0.0017115732827342825,0.0023026855300733243,0.0017142070110896426,0.0017182873604961004,0.002260850162440993,0.0023004464274056923,0.002302237709539798,COMPUTED
FIFO,packet_count,10,14.1,1.1005049346146119,14.5,12.0,15.0,12.45,13.25,15.0,15.0,15.0,COMPUTED
FIFO,rssi_dbm_mean,10,-94.30515494505495,1.7702837294679425,-93.54866666666666,-98.61785714285715,-92.56384615384614,-97.1040521978022,-95.04666666666667,-93.35916666666667,-92.73041538461538,-92.59715999999999,COMPUTED
FIFO,snr_db_mean,10,4.832855128205128,0.9621035030587615,4.4896666666666665,3.71,6.298666666666667,3.8237857142857146,4.0442307692307695,5.700607142857143,6.202141666666667,6.2793616666666665,COMPUTED
FIFO,airtime_utilisation,10,0.0020171210580318464,0.00015597536727864498,0.00207294306587482,0.001717263734015612,0.002152284248084159,0.0017809421662879584,0.0018987436743937924,0.0021419706656016137,0.0021489257243456038,0.002151612543336448,COMPUTED
