session,run,seq,policy,robot,t_gen_ns,t_selected_ns,t_tx_ns,t_rx_ns,deferral_ns,channel,rssi_dbm,snr_db,payload_hex,payload_bytes,freq_mhz,sf,bw_khz,cr,sent,deferral_s,channel_delay_s,packet_age_s,airtime_s,measurement_status
HWS-002-FIFO,1,0,FIFO,limo02,1784022138059422368,1784022524189065060,0,0,386129642692,6,-83.21,1.21,0x99cfb390f25d04e7148b446878b798c76aaa7dec63e47df1e022c45370fd0b77819496cbf91c6ae8c53e321d32cfee39d4d078d5,52,868,7,125,4/5,0,386.129642692,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,1,FIFO,limo01,1784022139292442680,1784022401083798919,0,0,261791356239,9,-96.58,-0.71,0x60c468e8df69d074961078d8da41d228845498b35b5f65e2908cd1ed13cdc2f3d59347bbad39f232449636e9ce84ad470fa7146f,52,868,7,125,4/5,0,261.791356239,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,2,FIFO,limo01,1784022145313810926,1784022200780759429,0,0,55466948503,3,-88.35,4.45,0x50570119ddeee5cf2cb28699b303f171479663584ed6b9702ea5b19c33c57d4c95a0aeb3d445eb3ad4341f8b4b2203d6ee20e542,52,868,7,125,4/5,0,55.466948503,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,3,FIFO,limo01,1784022149253074721,1784022336668052458,0,0,187414977737,9,-104.50,-4.43,0x309415c9e9c85ad68b291e269c3538b98b0ca1e26729bb8b48e9df65e465c21fda8f28ccccc4d06918cf460ebb5f436014c34178,52,868,7,125,4/5,0,187.414977737,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,4,FIFO,limo01,1784022149930961538,1784022586213860678,0,0,436282899140,8,-86.13,9.69,0x2bfdeb3bf5704f8b594c8a0cf5151cfbf396440dd25aeb497a9cde0c9336fefaddf597117f91c715f8419049181ca03ac681e51c,52,868,7,125,4/5,0,436.28289914,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,5,FIFO,limo01,1784022154943341049,1784022403486884219,0,0,248543543170,10,-91.79,10.97,0xb4a828a10d18970d95c30e44c17b191c8ba02d5dc8d7a0d1b483f5e8b06871de87f39571182bf8284149bae8e543d0ac46226857,52,868,7,125,4/5,0,248.54354317,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,6,FIFO,limo01,1784022156301876122,1784022301418643902,0,0,145116767780,7,-81.14,0.17,0x7aceda0fcfaa799ba6a908493e51ba0b65a181f02af647c351442bc04b1149b8435837cf1c10768212ae5fb7eac4f9f69fe417d3,52,868,7,125,4/5,0,145.11676778,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,7,FIFO,limo01,1784022163510420645,1784022386833791499,0,0,223323370854,0,-92.70,14.27,0x26d79ad9a167b3c50c75419e843aa81a599b9502ebf966b054ec426b5f955060749e978cca8c861e558cf21c407de03960e1d211,52,868,7,125,4/5,0,223.323370854,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,8,FIFO,limo02,1784022164347006912,1784022522104285436,0,0,357757278524,6,-94.20,5.75,0x911fafb8f5f07abe14a5c3b6afca9611517f404df0daf3bc76ea99d54c938032bf55286950d178430004598e3180c30ea1b55514,52,868,7,125,4/5,0,357.757278524,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,9,FIFO,limo02,1784022168554943791,1784022237172676598,1784022237172679713,1784022237343008970,68617732807,0,-94.12,4.01,0x1621736fd2f3de6425fdae208f47559f235fdec357b6f195af1f019c46d26bb8e776e0d435b8f120c0b90b3b8f67e35438f7e7d3,52,868,7,125,4/5,1,68.617732807,0.170329257,68.788065179,0.102656,MEASURED
HWS-002-FIFO,1,10,FIFO,limo02,1784022173250289268,1784022305946570794,0,0,132696281526,3,-91.26,8.47,0x0a610819c5e8ed76970534360134370ba353260b9894fb4d59dd447f741bba9e5d2892f856c002e54c1bd43d0def3468fc6cb357,52,868,7,125,4/5,0,132.696281526,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,11,FIFO,limo02,1784022176281311328,1784022303088188550,0,0,126806877222,1,-100.34,0.55,0xa28eeca4b1878a7a09e9fcd11a21195a9c36b5f0c109e3cc3fdf445ea38070084c17099416a08b9e2db6c22cb343f08cca3dc7ff,52,868,7,125,4/5,0,126.806877222,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,12,FIFO,limo02,1784022177610178010,1784022273772562839,0,0,96162384829,4,-109.93,2.12,0x18f8365656a67682eacd95975a8117db8d313864b3ce6e13a900e3ddfc13e24c72e5d157100ca5bf145a6308c1ee49ace604aecd,52,868,7,125,4/5,0,96.162384829,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,13,FIFO,limo02,1784022181337977901,1784022280192009396,0,0,98854031495,7,-95.76,2.26,0x36c44358726b66403f4072d916b1653fbbac22afb7a425429564d5a8ae7807bc405910939825dc0dbd387f1ef74007e09072fe79,52,868,7,125,4/5,0,98.854031495,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,14,FIFO,limo02,1784022185517353457,1784022326560851742,0,0,141043498285,0,-108.02,8.73,0x497f4d063acdf7fcab1a447cd7d074298ee9ab290d82e7d6b84a3d5faeec5469968698353612de503237ada3eee67fb489f8eca1,52,868,7,125,4/5,0,141.043498285,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,15,FIFO,limo01,1784022188609780666,1784022352046731063,0,0,163436950397,8,-90.07,10.71,0xca9dfdb1368ac751b2372741160a080d55e06299fb5aef3df06b0baab8e1ab1446e7dab02e6b8358dbd1d10a0481c33c2b601e1f,52,868,7,125,4/5,0,163.436950397,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,16,FIFO,limo02,1784022194283659714,1784022349641049627,0,0,155357389913,7,-82.02,-3.28,0x2987726cc9a38dde2aff19bc37e4125536e9519fa7041693142916d58ec107f22c1902ab70da7737ae516679601550978a846b94,52,868,7,125,4/5,0,155.357389913,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,17,FIFO,limo01,1784022198993558321,1784022341153749101,1784022341153752276,1784022341320290814,142160190780,0,-106.93,11.51,0x616734398e1dbb1e7ddc8dc8f27a4f6e9c726e1d6d7f3bdee0104fd19db8612740523e1dd7f488f88b3eb7d62acaac20d1ce0a06,52,868,7,125,4/5,1,142.16019078,0.166538538,142.326732493,0.102656,MEASURED
HWS-002-FIFO,1,18,FIFO,limo02,1784022201733771988,1784022311665284020,0,0,109931512032,5,-98.80,0.79,0x7b42a5a5542a68d32cb520d13b077a544f74f7cc323d92b38e4c2fef80bb871ccadee396322833908ed9084a85bea99d7441469a,52,868,7,125,4/5,0,109.931512032,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,19,FIFO,limo01,1784022204416881372,1784022340074872164,0,0,135657990792,10,-85.62,11.35,0x769f9d03dfc0253c3b1862d4dbb93cc71a81d42703dd50b4c8fb506e18fd6348627804c2969fe6652003e55f9743326965322eaa,52,868,7,125,4/5,0,135.657990792,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,20,FIFO,limo01,1784022209375109588,1784022304256968380,0,0,94881858792,8,-93.26,-2.13,0xa0c0548fa635008d440e13dfb5e1343306ede22760f7ce7e88a00a3b2300732432198d1cdf20b9de7f2d469a7fa480b34f279785,52,868,7,125,4/5,0,94.881858792,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,21,FIFO,limo01,1784022213110432621,1784022296447680653,0,0,83337248032,0,-87.10,3.10,0xaf98dcc3a0c0245fc43a3647aeab252931b0b2b13551b4d869b5b8ad69f01f39f3230048b19fe5fbd21d6a682b9136bc211447ea,52,868,7,125,4/5,0,83.337248032,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,22,FIFO,limo02,1784022215730477635,1784022406426002506,0,0,190695524871,9,-107.73,6.34,0x2c854d2f344e7685f621ab21f5a2c229d8e9efc58ddd64fd5e2a3eb1ac52edccb3767147ddedc896ace74e5912d4fe2f9f5eac87,52,868,7,125,4/5,0,190.695524871,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,23,FIFO,limo02,1784022218926029422,1784022338320337724,0,0,119394308302,5,-106.37,7.89,0x282423be39119bc3dcedeb10f8d6945178fd528b293048546b452184e3291b8c875495f41fa2ee1d11075245c1583ccef2332a0d,52,868,7,125,4/5,0,119.394308302,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,24,FIFO,limo02,1784022223357369542,1784022340466993058,0,0,117109623516,10,-106.01,10.47,0xaa8343ef6d92d2e2ea0f0a8f5286a2fd2d35bf7d871c4cc458a654f4eda0a44c6795c7dad8bb49d578be1f6257be87df9cddafdf,52,868,7,125,4/5,0,117.109623516,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,25,FIFO,limo01,1784022226032158126,1784022521477870508,0,0,295445712382,7,-82.96,10.98,0xc1f791066313fc7e9df89d41bbc8a4d39cd8a22503bd7e99ab2c2bf6f72376101020a2514648bc2ef9ea559bedac5d64cbc74957,52,868,7,125,4/5,0,295.445712382,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,26,FIFO,limo02,1784022228791689093,1784022353372452759,0,0,124580763666,0,-100.66,11.99,0x51dce2776ecb706382c287fc88ac6b2e76ca73a7945ab12d80c613f872cde34061e1e8c018c8f5830ffd0fab6bd63a009dceb8bf,52,868,7,125,4/5,0,124.580763666,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,27,FIFO,limo01,1784022233056535526,1784022702217846880,0,0,469161311354,0,-81.82,4.69,0xc54ec90e115de84f16bef7ceb396337db010fde80dac183955ba99776aa1e0d6a3d0d96cdb26cb9ab78c67b315d38262d306c38c,52,868,7,125,4/5,0,469.161311354,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,28,FIFO,limo02,1784022233886331560,1784022399133887786,0,0,165247556226,5,-92.50,11.73,0xc1474df18a0f94c1db4adf160af594491ffd251eb3115173ac05f2d296b62d98e5d72bfe4c588d7e8314e9874b6e7c2d98945aa1,52,868,7,125,4/5,0,165.247556226,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,29,FIFO,limo02,1784022239935644335,1784022532075311538,0,0,292139667203,2,-92.10,10.65,0xcf80d6cb75bf2e5067b2a0906e2c210b977dd37935b2a9ba06950ec6be2820b227e2466e6c5e63f21ca4ebea638d07183a165c8a,52,868,7,125,4/5,0,292.139667203,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,30,FIFO,limo02,1784022243166117038,1784022320769856942,0,0,77603739904,4,-104.26,-1.15,0x259560d28079aaa2bc614d4eb77304cdb9fbe03e4bbce4e3b71b5d3e3859215973914ea888b1a6eacb185f971bc47688a1fd3f25,52,868,7,125,4/5,0,77.603739904,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,31,FIFO,limo02,1784022246389108856,1784022453762224046,0,0,207373115190,4,-88.17,14.58,0x2abd2d2653b81414175e65edc7569d56ee2cdcc7bcd0fd5ae5f3bde7f3d67a568289cc03dd1b0f2eedb4f82e7ab5c0923a8013cc,52,868,7,125,4/5,0,207.37311519,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,32,FIFO,limo01,1784022251536154454,1784022716756892593,0,0,465220738139,6,-91.16,6.98,0x6ea34bd8043697591f7b6ecc313c220b895cf0cec4ff6c6ab35445b656559413cec497c4b60b75cc8cbec3285eaed5c022f65f60,52,868,7,125,4/5,0,465.220738139,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,33,FIFO,limo01,1784022254816910715,1784022397148869008,0,0,142331958293,7,-83.88,-0.32,0x134c85af14457bd8e06b75595ba6a19d5d4360c33022314562dfb5201081afe11885cdd4ba4615d252bef8d4403c3bbdd0116883,52,868,7,125,4/5,0,142.331958293,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,34,FIFO,limo01,1784022257896199450,1784022374912098348,0,0,117015898898,3,-107.95,4.86,0x7ac6f384e7cb5ea7513ebf8b29247e8bd4b46562417bceaf56780471374db8cb3dc9902a2f3951ce740eec46362962fc07169db3,52,868,7,125,4/5,0,117.015898898,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,35,FIFO,limo01,1784022261667020110,1784022475779703555,0,0,214112683445,0,-86.74,-4.53,0xcb94a0c6a812bcf6bae5dc91182fda43c911aa336c11b6a39cb0ac824e156bb0eba35389c29e1b59519bf4c287345dd288e34296,52,868,7,125,4/5,0,214.112683445,,,0.102656,NOT_RECORDED
HWS-002-FIFO,1,36,FIFO,limo02,1784022263484028696,1784022324696136535,0,0,61212107839,7,-102.18,9.80,0x60a787dcfb3e89e1a32f8b4fb9a41c2d8ee2bf5a66debfb8087bddad692b853243c0192011becd778f5a97ab0a18c8c77c2f072e,52,868,7,125,4/5,0,61.212107839,,,0.102656,NOT_RECORDED
