policy,run,start_timestamp,end_timestamp,scheduler_records,vicon_records_limo01,vicon_records_limo02,bag_records,duration_s,transmitted_constraints,generated_constraints,deferral_mean_s,status
BACS,1,1784110421407946269,1784111136916548597,204,71492,71492,264726,715.508602328,14,204,169.2602440770147,SEGMENTED_FROM_LOGGED_RUN
BACS,10,1784116900706440715,1784117617577193553,217,71687,71687,265458,716.870752838,14,217,166.10857463733643,SEGMENTED_FROM_LOGGED_RUN
BACS,2,1784111140026817666,1784111857296214525,201,71727,71727,265588,717.269396859,14,201,174.6064134532239,SEGMENTED_FROM_LOGGED_RUN
BACS,3,1784111861171516971,1784112578397190431,200,71722,71722,265573,717.22567346,12,200,173.09714015734,SEGMENTED_FROM_LOGGED_RUN
BACS,4,1784112582833500721,1784113299639205785,203,71680,71680,265419,716.805705064,13,203,178.9701100528473,SEGMENTED_FROM_LOGGED_RUN
BACS,5,1784113302509578567,1784114017201688472,201,71470,71470,264634,714.692109905,14,201,163.96510903860198,SEGMENTED_FROM_LOGGED_RUN
BACS,6,1784114020684195253,1784114738345276184,204,71766,71766,265739,717.661080931,16,204,171.4826077175441,SEGMENTED_FROM_LOGGED_RUN
BACS,7,1784114741813036452,1784115459214083598,210,71740,71740,265648,717.401047146,13,210,165.62705105477144,SEGMENTED_FROM_LOGGED_RUN
BACS,8,1784115463321880172,1784116177821396151,212,71450,71450,264578,714.499515979,14,212,178.47272894667452,SEGMENTED_FROM_LOGGED_RUN
BACS,9,1784116181757490078,1784116896819946893,204,71506,71507,264777,715.062456815,15,204,174.8212787060735,SEGMENTED_FROM_LOGGED_RUN
BACS+,1,1784195706397500912,1784196426128296214,208,71813,71813,265919,719.730795302,12,208,170.7721637486827,SEGMENTED_FROM_LOGGED_RUN
BACS+,10,1784202186768392820,1784202903150051979,211,71639,71639,265272,716.381659159,12,211,181.34672271215166,SEGMENTED_FROM_LOGGED_RUN
BACS+,2,1784196428535099741,1784197145632727817,208,71710,71710,265535,717.097628076,12,208,178.861565251375,SEGMENTED_FROM_LOGGED_RUN
BACS+,3,1784197149860128996,1784197863155964901,201,71330,71329,264122,713.295835905,16,201,174.3538275716219,SEGMENTED_FROM_LOGGED_RUN
BACS+,4,1784197869504183856,1784198585766543789,202,71626,71626,265217,716.262359933,12,202,175.98363008399008,SEGMENTED_FROM_LOGGED_RUN
BACS+,5,1784198589434040693,1784199303956876217,213,71452,71452,264585,714.522835524,15,213,177.53165566055398,SEGMENTED_FROM_LOGGED_RUN
BACS+,6,1784199306705520802,1784200023983581747,219,71728,71728,265609,717.278060945,12,219,173.46756360104567,SEGMENTED_FROM_LOGGED_RUN
BACS+,7,1784200028647733739,1784200743488240725,212,71484,71484,264702,714.840506986,16,212,188.55889473838678,SEGMENTED_FROM_LOGGED_RUN
BACS+,8,1784200746836399951,1784201466126984946,209,71929,71929,266348,719.290584995,14,209,167.12289807172246,SEGMENTED_FROM_LOGGED_RUN
BACS+,9,1784201469776964766,1784202185114470428,207,71534,71534,264884,715.337505662,16,207,170.4737839505652,SEGMENTED_FROM_LOGGED_RUN
FIFO,1,1784022138059422368,1784022854688239535,204,71662,71663,265358,716.628817167,14,204,187.44266818,SEGMENTED_FROM_LOGGED_RUN
FIFO,10,1784028618697283827,1784029334141817406,215,71545,71545,264931,715.444533579,15,215,173.52428885929302,SEGMENTED_FROM_LOGGED_RUN
FIFO,2,1784022857621348451,1784023574967190909,205,71734,71734,265624,717.345842458,12,205,165.83604192955121,SEGMENTED_FROM_LOGGED_RUN
FIFO,3,1784023575254386230,1784024293216814420,208,71796,71796,265854,717.96242819,13,208,175.31841319907213,SEGMENTED_FROM_LOGGED_RUN
FIFO,4,1784024297875079854,1784025014144341522,211,71627,71627,265233,716.269261668,13,211,182.0839243453744,SEGMENTED_FROM_LOGGED_RUN
FIFO,5,1784025015748314582,1784025733682398161,211,71794,71794,265845,717.934083579,15,211,169.38843011362087,SEGMENTED_FROM_LOGGED_RUN
FIFO,6,1784025735064444950,1784026455576413206,211,72051,72051,266798,720.511968256,15,211,172.74566289358768,SEGMENTED_FROM_LOGGED_RUN
FIFO,7,1784026455775882651,1784027174867353059,205,71909,71909,266270,719.091470408,15,205,176.16762667791218,SEGMENTED_FROM_LOGGED_RUN
FIFO,8,1784027176209158121,1784027895031222438,201,71883,71883,266164,718.822064317,15,201,180.31170305151247,SEGMENTED_FROM_LOGGED_RUN
FIFO,9,1784027898030430776,1784028613496160398,215,71546,71546,264936,715.465729622,14,215,170.4802615584279,SEGMENTED_FROM_LOGGED_RUN
