arm,metric,rows,max_abs_diff,rows_outside_tolerance,tolerance
fifo,align_rmse,120,5.823119764158946e-14,0,1e-12
fifo,pose_rmse,120,3.885780586188048e-14,0,1e-12
fifo,trust_yield,120,1.5987211554602254e-14,0,1e-12
fifo,n_delivered,120,0.0,0,0.0
bacs_gated,align_rmse,120,1.963817997108208e-11,3,1e-12
bacs_gated,pose_rmse,120,2.9509505949931736e-11,3,1e-12
bacs_gated,trust_yield,120,3.747728238856496e-10,6,1e-12
bacs_gated,n_delivered,120,0.0,0,0.0
plus_0.30_6,align_rmse,120,2.080058347786462e-12,1,1e-12
plus_0.30_6,pose_rmse,120,8.7815310578776e-12,1,1e-12
plus_0.30_6,trust_yield,120,8.724776456858763e-11,1,1e-12
plus_0.30_6,n_delivered,120,0.0,0,0.0
