n_robots,policy,metric,n,mean,sd,ci95_lo,ci95_hi,median
2,fifo,align_rmse,30,0.3343153637031433,0.21110097275872716,0.2554889649994301,0.4131417624068565,0.2561880452952317
2,lifo,align_rmse,30,0.20366030774986404,0.0502922589947198,0.18488086960980793,0.22243974588992016,0.188099523737479
2,random,align_rmse,30,0.1750261096834467,0.05239599208588995,0.15546112469704657,0.19459109466984684,0.15880589647317972
2,trust_only,align_rmse,30,0.19726805905317857,0.06930070058403452,0.17139075217346444,0.2231453659328927,0.18417240783435035
2,info_only,align_rmse,30,0.1751568042821124,0.031152003368974415,0.16352445505182833,0.18678915351239644,0.1689451795233252
2,bacs_gated,align_rmse,30,0.1751568042821124,0.031152003368974415,0.16352445505182833,0.18678915351239644,0.1689451795233252
2,plus_0.30_6,align_rmse,30,0.18039564642704745,0.041266906949594534,0.16498633012704336,0.19580496272705153,0.17272829792600955
3,fifo,align_rmse,30,0.4362832621638228,0.14131850381701058,0.3835140656010781,0.4890524587265675,0.3972431001162992
3,lifo,align_rmse,30,0.23064068994395567,0.06199198016128951,0.20749250412194378,0.25378887576596754,0.2073432390371076
3,random,align_rmse,30,0.2254553407925591,0.07551890155279006,0.1972561195115165,0.2536545620736017,0.19870864016310924
3,trust_only,align_rmse,30,0.33683305718361534,0.21098513388322476,0.2580499134268899,0.4156162009403408,0.24764884160665174
3,info_only,align_rmse,30,0.22588064389966261,0.06042327255881587,0.20331822312319348,0.24844306467613175,0.223667120595302
3,bacs_gated,align_rmse,30,0.22219689763950554,0.059871029348513724,0.1998406878667462,0.24455310741226488,0.21827670528758253
3,plus_0.30_6,align_rmse,30,0.22653558168916116,0.05991893324340822,0.20416148430807363,0.2489096790702487,0.22506941320482804
4,fifo,align_rmse,30,0.2762317100430247,0.1322173260269587,0.22686094911881188,0.32560247096723755,0.2381370014746709
4,lifo,align_rmse,30,0.26783559939353835,0.11112473539117707,0.2263409412528528,0.3093302575342239,0.2739058920639392
4,random,align_rmse,30,0.23624653935823361,0.1068244486102013,0.19635763469138418,0.27613544402508305,0.204836641604149
4,trust_only,align_rmse,30,0.2941055056663869,0.17281416333096047,0.22957563655988963,0.3586353747728841,0.22670232961018139
4,info_only,align_rmse,30,0.21077290655532632,0.06455917223964242,0.1866661154570207,0.23487969765363195,0.1935468483994496
4,bacs_gated,align_rmse,30,0.20653500139177486,0.06573025025857193,0.1819909225745784,0.2310790802089713,0.1862881073439203
4,plus_0.30_6,align_rmse,30,0.21733470588324907,0.07454168876213592,0.18950038185515522,0.24516902991134293,0.2008487819329241
5,fifo,align_rmse,30,0.2570839234789079,0.12242605942062265,0.2113692815921356,0.3027985653656802,0.219367789906244
5,lifo,align_rmse,30,0.27562877289214394,0.15811410746881668,0.21658799485525806,0.33466955092902984,0.20305761345325957
5,random,align_rmse,30,0.2166235279509365,0.10469699227356008,0.1775290285358738,0.2557180273659992,0.17298489729761635
5,trust_only,align_rmse,30,0.34577114210955107,0.27428230345897764,0.2433524467938214,0.44818983742528073,0.20833927398704516
5,info_only,align_rmse,30,0.19771619408802313,0.12756831739198604,0.1500814015179505,0.24535098665809577,0.15265695087881115
5,bacs_gated,align_rmse,30,0.21101833974135217,0.1582034251985794,0.15194420991605162,0.2700924695666527,0.14307502409224926
5,plus_0.30_6,align_rmse,30,0.1833023733841704,0.08242587996814096,0.15252404397638003,0.2140807027919608,0.15641768586266575
2,fifo,n_delivered,30,32.0,0.0,32.0,32.0,32.0
2,lifo,n_delivered,30,32.0,0.0,32.0,32.0,32.0
2,random,n_delivered,30,32.0,0.0,32.0,32.0,32.0
2,trust_only,n_delivered,30,32.0,0.0,32.0,32.0,32.0
2,info_only,n_delivered,30,32.0,0.0,32.0,32.0,32.0
2,bacs_gated,n_delivered,30,32.0,0.0,32.0,32.0,32.0
2,plus_0.30_6,n_delivered,30,32.0,0.0,32.0,32.0,32.0
3,fifo,n_delivered,30,24.0,0.0,24.0,24.0,24.0
3,lifo,n_delivered,30,24.0,0.0,24.0,24.0,24.0
3,random,n_delivered,30,24.0,0.0,24.0,24.0,24.0
3,trust_only,n_delivered,30,24.0,0.0,24.0,24.0,24.0
3,info_only,n_delivered,30,24.0,0.0,24.0,24.0,24.0
3,bacs_gated,n_delivered,30,24.0,0.0,24.0,24.0,24.0
3,plus_0.30_6,n_delivered,30,24.0,0.0,24.0,24.0,24.0
4,fifo,n_delivered,30,32.0,0.0,32.0,32.0,32.0
4,lifo,n_delivered,30,32.0,0.0,32.0,32.0,32.0
4,random,n_delivered,30,32.0,0.0,32.0,32.0,32.0
4,trust_only,n_delivered,30,32.0,0.0,32.0,32.0,32.0
4,info_only,n_delivered,30,32.0,0.0,32.0,32.0,32.0
4,bacs_gated,n_delivered,30,32.0,0.0,32.0,32.0,32.0
4,plus_0.30_6,n_delivered,30,32.0,0.0,32.0,32.0,32.0
5,fifo,n_delivered,30,40.0,0.0,40.0,40.0,40.0
5,lifo,n_delivered,30,40.0,0.0,40.0,40.0,40.0
5,random,n_delivered,30,40.0,0.0,40.0,40.0,40.0
5,trust_only,n_delivered,30,40.0,0.0,40.0,40.0,40.0
5,info_only,n_delivered,30,40.0,0.0,40.0,40.0,40.0
5,bacs_gated,n_delivered,30,40.0,0.0,40.0,40.0,40.0
5,plus_0.30_6,n_delivered,30,40.0,0.0,40.0,40.0,40.0
2,fifo,pose_rmse,30,0.44174646167882414,0.1963839969583393,0.36841547205349623,0.5150774513041521,0.3790874042360872
2,lifo,pose_rmse,30,0.4971921311223801,0.1718046321476354,0.4330392271549851,0.5613450350897751,0.4856954742827659
2,random,pose_rmse,30,0.3917777941404636,0.1399180294815362,0.33953154328895724,0.44402404499196996,0.36804440740144345
2,trust_only,pose_rmse,30,0.40026767594161367,0.11329101472289638,0.3579641158045319,0.4425712360786954,0.37682341394894403
2,info_only,pose_rmse,30,0.3781148022670358,0.12835091442656527,0.3301877831616426,0.426041821372429,0.35509633524346707
2,bacs_gated,pose_rmse,30,0.3781148022670358,0.12835091442656527,0.3301877831616426,0.426041821372429,0.35509633524346707
2,plus_0.30_6,pose_rmse,30,0.3913344654514222,0.12609554756886626,0.34424961417133465,0.43841931673150975,0.370799797963245
3,fifo,pose_rmse,30,0.43177070523336575,0.16056215805676882,0.3718158100838443,0.4917256003828872,0.40141646826521354
3,lifo,pose_rmse,30,0.47763228798336843,0.20490066378962002,0.40112112269851613,0.5541434532682208,0.44515660302765914
3,random,pose_rmse,30,0.4374688325349418,0.19398281806045714,0.3650344578455371,0.5099032072243465,0.4233842373644031
3,trust_only,pose_rmse,30,0.4598353988177307,0.1706413000152789,0.3961168902076455,0.5235539074278159,0.44476762065544184
3,info_only,pose_rmse,30,0.4010201727697041,0.1402683849347038,0.3486430970419383,0.4533972484974699,0.4006961309335634
3,bacs_gated,pose_rmse,30,0.3986330401003418,0.14040811515540097,0.3462037882506771,0.45106229195000647,0.3983015653466145
3,plus_0.30_6,pose_rmse,30,0.39475116228110707,0.13309486755598987,0.34505272196469394,0.4444496025975202,0.362823112587621
4,fifo,pose_rmse,30,0.37166173000417296,0.12195987691339162,0.32612116352645004,0.4172022964818959,0.33855993219060654
4,lifo,pose_rmse,30,0.46543407729072256,0.1457010872151298,0.41102839719226597,0.5198397573891792,0.4395788793919282
4,random,pose_rmse,30,0.4134436366138594,0.12318647803133967,0.36744504975134035,0.4594422234763785,0.41500430260154786
4,trust_only,pose_rmse,30,0.39029106484269144,0.13485527005221212,0.33993527943102464,0.44064685025435824,0.384595029673403
4,info_only,pose_rmse,30,0.37317813208599,0.12159687050336113,0.32777311442945495,0.41858314974252503,0.35119903669736385
4,bacs_gated,pose_rmse,30,0.37589852856399103,0.11939417173563485,0.3313160121447545,0.4204810449832276,0.3516935975240016
4,plus_0.30_6,pose_rmse,30,0.36955899052065705,0.10561243337664233,0.3301226597798628,0.4089953212614513,0.36248302216791206
5,fifo,pose_rmse,30,0.3096539038029981,0.10282533972328843,0.2712582909360858,0.34804951666991046,0.2818624320555092
5,lifo,pose_rmse,30,0.38635400524312047,0.10096313015745022,0.3486537528560218,0.42405425763021914,0.3844116412653178
5,random,pose_rmse,30,0.37206674410438206,0.07903378322695602,0.3425550444362273,0.4015784437725368,0.33729323753476625
5,trust_only,pose_rmse,30,0.3502288336834516,0.1251613488510203,0.3034928179375593,0.3969648494293439,0.31293500356598536
5,info_only,pose_rmse,30,0.33030008780339964,0.09385827961250666,0.295252830210532,0.3653473453962673,0.3298604271748593
5,bacs_gated,pose_rmse,30,0.3374401266299808,0.08213746871496908,0.3067694917540349,0.3681107615059267,0.3321300366117481
5,plus_0.30_6,pose_rmse,30,0.3463871202094859,0.12733784454007555,0.2988383876166728,0.39393585280229904,0.33295065342994695
