n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
2,10,fixed 0.003,0.2602649143853884,0.13675963031343621,0.003,48,0.38570378763720137,0.6936177777777777,7.492765333333338
2,10,drift derived,0.5312694534500124,0.27118041961256184,0.033271064666877376,47,0.22519387169292207,0.6729600000000001,-76.5797065531915
2,10,drift adaptive,0.4522951356193446,0.20644763471745078,0.06305129851649546,44,0.2540451344843522,0.6874763636363639,-40.586909090909124
2,10,deferral derived,0.2290066699225365,0.15235720607463704,0.004471917293935131,48,0.3145730295649656,0.6943288888888889,-81.98313866666668
2,10,deferral adaptive,0.4486662809212251,0.2004226380872815,0.005747435257737779,35,0.4134287357271951,0.6321403508771936,-25.41602377142859
2,11,fixed 0.003,0.2806770850542657,0.19185748268898428,0.003,48,0.4452011833768483,0.6907733333333334,4.601525333333345
2,11,drift derived,0.20061708138880044,0.18217172067407694,0.033271064666877376,47,0.2777292904591196,0.6743822222222222,-71.41168748936171
2,11,drift adaptive,0.2959582447033462,0.2104385351409851,0.05473122474878263,38,0.35466208255709464,0.6888645614035093,-19.22534736842107
2,11,deferral derived,0.248682187577574,0.1887266301499135,0.004471917293935131,48,0.3936493643244024,0.6907733333333334,-41.20108266666668
2,11,deferral adaptive,0.38631451977302833,0.1927687687174239,2.0,20,0.5282270104113802,0.38115555555555575,2.592063999999991
2,12,fixed 0.003,0.41774592673346844,0.1824928020548773,0.003,48,0.4309242014687797,0.689351111111111,-56.33649333333337
2,12,drift derived,0.3304187690363953,0.2561712037395471,0.033271064666877376,47,0.24512894645095154,0.6743822222222222,-71.35292187234046
2,12,drift adaptive,0.3585333956577547,0.2352683977228928,0.051367224708073485,39,0.40152257921839263,0.6715306666666672,-19.117561435897453
2,12,deferral derived,0.3320531032370329,0.2726659260334351,0.004471917293935131,48,0.4005370430331506,0.689351111111111,-84.75599200000002
2,12,deferral adaptive,0.2984464668583264,0.20711717551542352,2.0,20,0.4683926879478685,0.38305185185185203,1.036825599999991
2,13,fixed 0.003,0.29969236632039886,0.23517412683983446,0.003,48,0.4210741458696765,0.6921955555555556,-12.919224
2,13,drift derived,0.4300776611392776,0.2127900063429673,0.033271064666877376,47,0.2575292449506606,0.6765155555555555,-86.79708868085109
2,13,drift adaptive,0.3218640777056114,0.2048978721406879,0.04830937780405526,37,0.32872772817892687,0.6717529824561408,-19.209610378378393
2,13,deferral derived,0.28616798378491926,0.23821147962486258,0.004471917293935131,48,0.3753357323441459,0.6914844444444445,-33.167818666666676
2,13,deferral adaptive,0.8906604069463704,0.436827502883945,1.78965331287641,24,0.6348063935634657,0.4581451851851855,2.1363306666666593
2,14,fixed 0.003,0.2778949917004169,0.1865185699742574,0.003,48,0.3760630154327562,0.6900622222222222,-77.02263466666666
2,14,drift derived,0.4884174121866432,0.21039115403718314,0.033271064666877376,47,0.22764675852732705,0.6743822222222223,-59.0129266382979
2,14,drift adaptive,0.48065385354648427,0.19200288386962144,0.06327370992527616,38,0.2929663612230517,0.6897628070175444,-19.86505768421054
2,14,deferral derived,0.3082762007299502,0.21781038787219284,0.004471917293935131,48,0.3238007411167374,0.6900622222222222,-90.56983733333335
2,14,deferral adaptive,0.38958318688517857,0.21176521150522737,2.0,22,0.4768118357897841,0.42107259259259283,1.3031912727272628
2,15,fixed 0.003,0.23600050681078405,0.1837341635144388,0.003,48,0.39287883955096303,0.6950400000000001,-19.65071466666667
2,15,drift derived,0.48857037648706936,0.170117428339148,0.033271064666877376,46,0.3204145410818411,0.6962457971014494,-58.98588939130435
2,15,drift adaptive,0.39738503196375274,0.1728340456036297,0.057540899603251705,37,0.469697467548807,0.672651228070176,-9.025992648648666
2,15,deferral derived,0.3443675522089274,0.15564175120528473,0.004471917293935131,48,0.3452860560929885,0.6893511111111111,-33.72358133333333
2,15,deferral adaptive,0.5521583221072173,0.24666344438376997,2.0,22,0.5290412937091371,0.4220207407407409,1.2561803636363542
2,16,fixed 0.003,0.4192080113833585,0.174716138202689,0.003,48,0.3804246053581131,0.6929066666666667,11.793615999999966
2,16,drift derived,0.4814208320551856,0.19584675898324388,0.033271064666877376,47,0.22299084770380395,0.6758044444444445,-54.26035200000002
2,16,drift adaptive,0.4259320789353222,0.20739864001235928,0.05923629292230478,37,0.32749297291241597,0.6717529824561408,-6.705830054054073
2,16,deferral derived,0.3531547565871379,0.17760725564757057,0.004471917293935131,48,0.328011402528394,0.6929066666666667,-49.36621333333333
2,16,deferral adaptive,0.41327490315487664,0.2620385229603475,2.0,20,0.42989380015739354,0.38210370370370395,1.0368255999999882
2,17,fixed 0.003,0.29895348334502614,0.1980860486378808,0.003,48,0.43153306444903944,0.6936177777777778,-14.269242666666685
2,17,drift derived,0.6012366368471074,0.2206412250576284,0.033271064666877376,47,0.29980757939273484,0.6779377777777778,-62.22752136170215
2,17,drift adaptive,0.6211281435696909,0.2557088240929994,0.06584379659449359,37,0.4752927509477571,0.6753459649122813,-9.557490162162177
