n_robots,seed,rule,pose_rmse,align_rmse,gamma,n_delivered,trust_yield,airtime_util,dt_bias
2,12,fixed 0.003,0.4177459267334706,0.1824928020548776,0.003,48,0.43092420146878424,0.689351111111111,-56.33649333333337
2,12,drift derived,0.3304187690363939,0.2561712037395502,0.033271064666877376,47,0.24512894645094865,0.6743822222222222,-71.35292187234046
2,12,drift adaptive,0.3585333956577416,0.23526839772289201,0.051367224708073485,39,0.40152257921838935,0.6715306666666672,-19.117561435897453
2,12,deferral derived,0.33205310323702725,0.27266592603343603,0.004471917293935131,48,0.4005370430331512,0.689351111111111,-84.75599200000002
2,12,deferral adaptive,0.29844646685829146,0.20711717551542383,2.0,20,0.4683926879478702,0.38305185185185203,1.036825599999991
2,11,fixed 0.003,0.2806770850542566,0.1918574826889931,0.003,48,0.44520118337684816,0.6907733333333334,4.601525333333345
2,11,drift derived,0.20061708138879936,0.18217172067407653,0.033271064666877376,47,0.27772929045911915,0.6743822222222222,-71.41168748936171
2,11,drift adaptive,0.29595824470334237,0.21043853514098493,0.05473122474878263,38,0.3546620825570939,0.6888645614035093,-19.22534736842107
2,11,deferral derived,0.24868218757757077,0.18872663014991564,0.004471917293935131,48,0.3936493643244036,0.6907733333333334,-41.20108266666668
2,11,deferral adaptive,0.3863145197730342,0.19276876871742385,2.0,20,0.5282270104113808,0.38115555555555575,2.592063999999991
2,10,fixed 0.003,0.2602649143853689,0.13675963031344038,0.003,48,0.38570378763720664,0.6936177777777777,7.492765333333338
2,10,drift derived,0.5312694534500204,0.27118041961256256,0.033271064666877376,47,0.22519387169292043,0.6729600000000001,-76.5797065531915
2,10,drift adaptive,0.45229513561933093,0.20644763471745042,0.06305129851649546,44,0.2540451344843527,0.6874763636363639,-40.586909090909124
2,10,deferral derived,0.22900666992253177,0.15235720607464326,0.004471917293935131,48,0.31457302956497346,0.6943288888888889,-81.98313866666668
2,10,deferral adaptive,0.44866628092123745,0.20042263808728364,0.005747435257737779,35,0.41342873572719696,0.6321403508771936,-25.41602377142859
2,15,fixed 0.003,0.23600050681078347,0.1837341635144331,0.003,48,0.3928788395509641,0.6950400000000001,-19.65071466666667
2,15,drift derived,0.4885703764870728,0.1701174283391497,0.033271064666877376,46,0.32041454108184064,0.6962457971014494,-58.98588939130435
2,15,drift adaptive,0.3973850319637512,0.1728340456036267,0.057540899603251705,37,0.4696974675488062,0.672651228070176,-9.025992648648666
2,15,deferral derived,0.34436755220893095,0.15564175120528476,0.004471917293935131,48,0.3452860560929893,0.6893511111111111,-33.72358133333333
2,15,deferral adaptive,0.5521583221072132,0.24666344438377052,2.0,22,0.5290412937091344,0.4220207407407409,1.2561803636363542
2,14,fixed 0.003,0.2778949917004106,0.18651856997425345,0.003,48,0.3760630154327574,0.6900622222222222,-77.02263466666666
2,14,drift derived,0.488417412186661,0.21039115403718495,0.033271064666877376,47,0.2276467585273268,0.6743822222222223,-59.0129266382979
2,14,drift adaptive,0.48065385354650764,0.19200288386962283,0.06327370992527616,38,0.29296636122304803,0.6897628070175444,-19.86505768421054
2,14,deferral derived,0.30827620072996015,0.21781038787220083,0.004471917293935131,48,0.32380074111673823,0.6900622222222222,-90.56983733333335
2,14,deferral adaptive,0.38958318688517,0.21176521150522626,2.0,22,0.47681183578978426,0.42107259259259283,1.3031912727272628
2,13,fixed 0.003,0.2996923663204127,0.23517412683983818,0.003,48,0.42107414586967645,0.6921955555555556,-12.919224
2,13,drift derived,0.4300776611392756,0.21279000634296952,0.033271064666877376,47,0.2575292449506588,0.6765155555555555,-86.79708868085109
2,13,drift adaptive,0.3218640777056096,0.20489787214068997,0.04830937780405526,37,0.3287277281789208,0.6717529824561408,-19.209610378378393
2,13,deferral derived,0.286167983784896,0.23821147962485376,0.004471917293935131,48,0.37533573234414686,0.6914844444444445,-33.167818666666676
2,13,deferral adaptive,0.8906604069463651,0.43682750288394245,1.78965331287641,24,0.6348063935634681,0.4581451851851855,2.1363306666666593
2,16,fixed 0.003,0.41920801138335767,0.1747161382026899,0.003,48,0.3804246053581131,0.6929066666666667,11.793615999999966
2,16,drift derived,0.48142083205518466,0.19584675898324577,0.033271064666877376,47,0.22299084770380537,0.6758044444444445,-54.26035200000002
2,16,drift adaptive,0.4259320789353209,0.20739864001235989,0.05923629292230478,37,0.32749297291241564,0.6717529824561408,-6.705830054054073
2,16,deferral derived,0.35315475658714124,0.17760725564757263,0.004471917293935131,48,0.32801140252839306,0.6929066666666667,-49.36621333333333
2,16,deferral adaptive,0.4132749031548813,0.26203852296034813,2.0,20,0.4298938001573925,0.38210370370370395,1.0368255999999882
2,17,fixed 0.003,0.2989534833449737,0.19808604863787482,0.003,48,0.43153306444898143,0.6936177777777778,-14.269242666666685
2,17,drift derived,0.6012366368466675,0.22064122505759162,0.033271064666877376,47,0.29980757939280095,0.6779377777777778,-62.22752136170215
2,17,drift adaptive,0.6211281435692627,0.25570882409297274,0.06584379659449359,37,0.47529275094784607,0.6753459649122813,-9.557490162162177
2,17,deferral derived,0.315099243284196,0.19716519843437075,0.004471917293935131,48,0.38057991847892647,0.6936177777777778,-62.77402133333336
2,17,deferral adaptive,0.4677195949767097,0.26035015583016274,0.008782753239451,32,0.3344441558694019,0.5826021052631584,-24.456272000000013
2,19,fixed 0.003,0.24133317447621616,0.12464652541987836,0.003,48,0.5595562882429004,0.6900622222222222,-16.931144000000035
2,19,drift derived,0.19318782081224387,0.19333505145057997,0.033271064666877376,46,0.40371344589649344,0.6895675362318844,-62.004335304347855
2,19,drift adaptive,0.24300440053004904,0.19030133211834616,0.05159590492623493,39,0.5053146358295996,0.6715306666666672,-16.640945230769248
2,19,deferral derived,0.2423232337100693,0.13355465558827867,0.004471917293935131,48,0.5220437403500751,0.6900622222222222,-64.40234933333335
2,19,deferral adaptive,0.3986053664077242,0.28271031851118994,2.0,20,0.6333370013260704,0.38020740740740766,3.11047679999999
2,18,fixed 0.003,0.2828536535653346,0.17512793403562596,0.003,48,0.4732776704675234,0.6907733333333334,-26.325277333333332
2,18,drift derived,0.5486121971207872,0.2443295071478504,0.033271064666877376,46,0.2960858841686243,0.6932776811594206,-64.23061982608696
2,18,drift adaptive,0.5629791101950135,0.24546478002305885,0.05055854814597384,37,0.4249493109830184,0.6717529824561408,-15.2283917837838
2,18,deferral derived,0.2793798265510643,0.18128708656147785,0.004471917293935131,48,0.41420949234083543,0.6907733333333334,-63.78430133333335
2,18,deferral adaptive,0.40897481442348527,0.20294591972510437,2.0,24,0.5599766164544447,0.461937777777778,1.7602453333333254
2,21,fixed 0.003,0.2643132001128482,0.13055201588714405,0.003,48,0.40118797957576824,0.6907733333333334,17.096455999999943
2,21,drift derived,0.2444590339051543,0.15117459900171107,0.033271064666877376,47,0.2515990764867878,0.677226666666667,-76.73690961702131
2,21,drift adaptive,0.24932273958961576,0.15385290404042867,0.05133102051313169,38,0.3860089121632175,0.6924575438596496,-9.195910736842123
2,21,deferral derived,0.2555842480281768,0.14203369923137216,0.004471917293935131,48,0.3581625102528972,0.689351111111111,-27.828808000000024
2,21,deferral adaptive,0.33655553143424644,0.1532634662109039,2.0,20,0.4338099736662353,0.3849481481481484,1.5552383999999893
2,20,fixed 0.003,0.7031715912295664,0.2813258108301906,0.003,48,0.35824750267772004,0.69504,-25.266928000000025
2,20,drift derived,0.5840498841843466,0.29239152352167586,0.033271064666877376,47,0.20874399906039606,0.6750933333333335,-83.3544605957447
2,20,drift adaptive,0.5853456377534358,0.26277872985230283,0.05064491561349793,39,0.25571225609897974,0.6715306666666672,-30.968454564102583
2,20,deferral derived,0.6223856083080104,0.27883634467267293,0.004471917293935131,48,0.30315650747009726,0.69504,-57.07882933333334
2,20,deferral adaptive,0.5730817323132388,0.2700291688770793,1.3313129369897103,28,0.3512016801974844,0.5379792592592597,1.266998857142844
2,24,fixed 0.003,0.20655938789919343,0.1746527709919489,0.003,48,0.4154406464020343,0.6936177777777778,4.949162666666656
2,24,drift derived,0.2720648403725864,0.15358347919918813,0.033271064666877376,47,0.3361543936857371,0.6758044444444445,-79.3844725106383
2,24,drift adaptive,0.2953447539980272,0.1780174464530502,0.07698849748167162,43,0.49098437505753695,0.6734739393939396,-23.71096706976746
2,24,deferral derived,0.22674953756874572,0.17127808593747726,0.004471917293935131,48,0.3840444474229631,0.6921955555555556,-41.14414666666668
2,24,deferral adaptive,0.4036626507679446,0.17863533108488847,1.6938645693195233,26,0.6098878071709563,0.5018548148148151,3.492775384615375
2,23,fixed 0.003,0.3146016384616551,0.2861121693384506,0.003,48,0.31143999746725576,0.6936177777777777,-0.2218986666667225
2,23,drift derived,0.5073606069415684,0.18835579264281457,0.033271064666877376,46,0.18712277533071514,0.6940197101449275,-85.35756800000004
2,23,drift adaptive,0.4927779800951471,0.20739201208452132,0.052114601929268214,38,0.2695694725990189,0.6924575438596496,-18.271164631578966
2,23,deferral derived,0.3198375543504456,0.2330885743456431,0.004471917293935131,48,0.27646196521551797,0.6936177777777777,-44.39388533333335
2,23,deferral adaptive,0.2607665968525314,0.17484957720748665,0.006666862782833279,36,0.3649900820413936,0.6564378947368426,-18.44985600000002
2,22,fixed 0.003,0.24186808832701423,0.18787551302460628,0.003,48,0.3010847589660506,0.6957511111111111,-20.32220266666668
2,22,drift derived,0.4893280950232964,0.24369047707158872,0.033271064666877376,47,0.15193060208219983,0.6772266666666668,-73.04373651063833
2,22,drift adaptive,0.3459364673292059,0.17076927106203202,0.061448346525178096,39,0.2296243043264102,0.6757973333333339,-5.6207524102564275
2,22,deferral derived,0.3195061487366352,0.21196831650676937,0.004471917293935131,48,0.2510320513527306,0.6957511111111111,-31.874743999999996
2,22,deferral adaptive,0.473488295758737,0.3073491929013232,2.0,20,0.20913433452542987,0.38305185185185203,1.036825599999991
2,25,fixed 0.003,0.42397994878565076,0.19608905046595318,0.003,48,0.41146256527867625,0.6900622222222222,-23.5204026666667
2,25,drift derived,0.49824996411113953,0.18316060608103413,0.033271064666877376,47,0.2626639044276265,0.6729600000000001,-68.6600551489362
2,25,drift adaptive,0.566146847586409,0.20884399209485113,0.05917752921789507,34,0.4281687822196645,0.6501451851851857,-8.28717929411766
2,25,deferral derived,0.39278862097216716,0.17364765089110287,0.004471917293935131,48,0.35432079791922194,0.68864,-27.970789333333318
2,25,deferral adaptive,0.9161527802309217,0.2161182401882454,2.0,22,0.30386870955271955,0.4182281481481484,0.7895621818181717
2,26,fixed 0.003,0.37293466096714367,0.15449566202689946,0.003,48,0.44257152211735334,0.6907733333333334,-7.839757333333355
