n_robots,rule,pose_rmse_n,pose_rmse_mean,pose_rmse_sd,pose_rmse_ci95_lo,pose_rmse_ci95_hi,pose_rmse_median,align_rmse_n,align_rmse_mean,align_rmse_sd,align_rmse_ci95_lo,align_rmse_ci95_hi,align_rmse_median,gamma_n,gamma_mean,gamma_sd,gamma_ci95_lo,gamma_ci95_hi,gamma_median,n_delivered_n,n_delivered_mean,n_delivered_sd,n_delivered_ci95_lo,n_delivered_ci95_hi,n_delivered_median
2,fixed 0.003,30,0.33997950949725814,0.12211959754236669,0.29437930235650905,0.3855797166380072,0.2993229248327125,30,0.1802778350123438,0.04500259511632361,0.16347358982586846,0.19708208019881912,0.18061912152108267,30,0.003000000000000001,8.821895084505784e-19,0.0030000000000000005,0.0030000000000000014,0.003,30,48.0,0.0,48.0,48.0,48.0
2,drift derived,30,0.42245551048690866,0.14356635277800436,0.3688469533276235,0.4760640676461938,0.4529630827436971,30,0.21048461467171173,0.04546861752261342,0.193506353858861,0.22746287548456245,0.19696941169190424,30,0.03327106466687737,7.057516067604627e-18,0.03327106466687737,0.03327106466687737,0.033271064666877376,30,46.733333333333334,0.44977644510880366,46.56538404856047,46.9012826181062,47.0
2,drift adaptive,30,0.43853152331068707,0.15676678254947146,0.3799938446668918,0.49706920195448234,0.4368055871198162,30,0.21506457475275173,0.0491742267598846,0.19670261671027645,0.23342653279522702,0.2073953260484402,30,0.06133852481167327,0.01627076037472168,0.055262923038031674,0.06741412658531487,0.056425348253433066,30,38.3,1.8411016192523961,37.612521356975876,38.98747864302412,38.0
2,deferral derived,30,0.3406439281748868,0.113040255649583,0.298434003014628,0.3828538533351456,0.3196718515435299,30,0.19002974405509238,0.04815229438438488,0.17204938183298046,0.2080101062772043,0.17771708636818023,30,0.00447191729393513,8.821895084505784e-19,0.00447191729393513,0.00447191729393513,0.004471917293935131,30,48.0,0.0,48.0,48.0,48.0
2,deferral adaptive,30,0.5040684902613458,0.2339249787282319,0.41671946766321605,0.5914175128594756,0.4457953015042801,30,0.24466019406284306,0.07805043645520472,0.2155156821138215,0.27380470601186463,0.21534253814334053,30,1.5998499456166473,0.7447476846796459,1.3217565898208812,1.8779433014124134,2.0,30,23.833333333333332,5.0383586088392285,21.951979309604763,25.7146873570619,22.0
3,fixed 0.003,30,0.45421357632329956,0.1891500468738146,0.38358378805253496,0.5248433645940642,0.40614272030673326,30,0.24225445213247251,0.14475273946526215,0.18820289090359724,0.2963060133613478,0.20083240018161752,30,0.003000000000000001,8.821895084505784e-19,0.0030000000000000005,0.0030000000000000014,0.003,30,36.0,0.0,36.0,36.0,36.0
3,drift derived,30,0.474373043087585,0.20479822125766511,0.3979001304728297,0.5508459557023403,0.43529045114892795,30,0.2818827445351581,0.1562376764995394,0.22354263733740332,0.3402228517329129,0.23819677521364055,30,0.03327106466687737,7.057516067604627e-18,0.03327106466687737,0.03327106466687737,0.033271064666877376,30,36.0,0.0,36.0,36.0,36.0
3,drift adaptive,30,0.4728366397190898,0.21871108378650791,0.3911685788561928,0.5545047005819868,0.4182212607786807,30,0.27532325337992514,0.1450610923982379,0.22115655127358935,0.3294899554862609,0.23913686446457305,30,0.04631202959424085,0.002778893813194504,0.045274373590994905,0.04734968559748679,0.04557204180502335,30,33.06666666666667,1.311312407431981,32.57701456652453,33.55631876680881,33.5
3,deferral derived,30,0.4349080060491674,0.18128894373593057,0.36721360193177705,0.5026024101665578,0.41307434345597693,30,0.24715875820678215,0.14396833428715625,0.19340009868511646,0.3009174177284479,0.21214727642035275,30,0.00447191729393513,8.821895084505784e-19,0.00447191729393513,0.00447191729393513,0.004471917293935131,30,36.0,0.0,36.0,36.0,36.0
3,deferral adaptive,30,0.46931978300925803,0.17320587623018,0.4046436459023449,0.5339959201161711,0.42906468655842916,30,0.26707937760190986,0.1406002954590117,0.21457836444751288,0.31958039075630684,0.2247564840960036,30,0.2703872045474405,0.6900079640741361,0.012733996350195509,0.5280404127446854,0.004233443790322575,30,29.366666666666667,0.9278574999588487,29.020198982145004,29.71313435118833,29.5
