claim,policy,paper_value,computed,rule,match
median_deferral_sent_s,FIFO,153.5,153.498298922,round to 1 dp,True
median_channel_delay_s,FIFO,0.17,0.170198053,round to 3 dp,True
deferral_channel_ratio,FIFO,902.0,901.8804634739271,round to 0 dp,True
packets_sent_per_session,FIFO,141.0,141.0,round to 0 dp,True
airtime_fraction_of_duty_budget_mean,FIFO,0.1,0.1008560529015923,abs diff <= 0.01,True
airtime_fraction_of_duty_budget_median,FIFO,0.1,0.103647153293741,abs diff <= 0.01,True
median_deferral_sent_s,BACS,141.9,141.879384948,round to 1 dp,True
median_channel_delay_s,BACS,0.17,0.169954494,round to 3 dp,True
deferral_channel_ratio,BACS,835.0,834.8080807324811,round to 0 dp,True
packets_sent_per_session,BACS,139.0,139.0,round to 0 dp,True
airtime_fraction_of_duty_budget_mean,BACS,0.1,0.0996056974554707,abs diff <= 0.01,True
airtime_fraction_of_duty_budget_median,BACS,0.1,0.1003355217685767,abs diff <= 0.01,True
median_deferral_sent_s,BACS+,166.1,166.072547459,round to 1 dp,True
median_channel_delay_s,BACS+,0.171,0.170684094,round to 3 dp,True
deferral_channel_ratio,BACS+,973.0,972.981978385168,round to 0 dp,True
packets_sent_per_session,BACS+,137.0,137.0,round to 0 dp,True
airtime_fraction_of_duty_budget_mean,BACS+,0.1,0.0981796032990139,abs diff <= 0.01,True
airtime_fraction_of_duty_budget_median,BACS+,0.1,0.092947974825645,abs diff <= 0.01,True
