arm,reference,metric,rows,max_abs_diff,rows_outside_tolerance,tolerance
bacs_gated,frozen S8,align_rmse,20,1.963817997108208e-11,1,1e-12
bacs_gated,frozen S8,pose_rmse,20,3.5575986601088516e-12,1,1e-12
bacs_gated,frozen S8,trust_yield,20,9.252043575713742e-11,1,1e-12
bacs_gated,frozen S8,n_delivered,20,0.0,0,0.0
fifo,frozen S8,align_rmse,20,2.653433028854124e-14,0,1e-12
fifo,frozen S8,pose_rmse,20,2.5091040356528538e-14,0,1e-12
fifo,frozen S8,trust_yield,20,1.5987211554602254e-14,0,1e-12
fifo,frozen S8,n_delivered,20,0.0,0,0.0
info_only,revision baselines,align_rmse,20,8.326672684688674e-17,0,1e-12
info_only,revision baselines,pose_rmse,20,5.551115123125783e-17,0,1e-12
info_only,revision baselines,trust_yield,20,5.551115123125783e-17,0,1e-12
info_only,revision baselines,n_delivered,20,0.0,0,0.0
lifo,revision baselines,align_rmse,20,8.326672684688674e-17,0,1e-12
lifo,revision baselines,pose_rmse,20,5.551115123125783e-17,0,1e-12
lifo,revision baselines,trust_yield,20,0.0,0,1e-12
lifo,revision baselines,n_delivered,20,0.0,0,0.0
plus_0.30_6,frozen S8,align_rmse,20,2.7700064464397656e-14,0,1e-12
plus_0.30_6,frozen S8,pose_rmse,20,1.892930256985892e-14,0,1e-12
plus_0.30_6,frozen S8,trust_yield,20,6.106226635438361e-15,0,1e-12
plus_0.30_6,frozen S8,n_delivered,20,0.0,0,0.0
random,revision baselines,align_rmse,20,8.326672684688674e-17,0,1e-12
random,revision baselines,pose_rmse,20,5.551115123125783e-17,0,1e-12
random,revision baselines,trust_yield,20,5.551115123125783e-17,0,1e-12
random,revision baselines,n_delivered,20,0.0,0,0.0
trust_only,revision baselines,align_rmse,20,1.1102230246251565e-16,0,1e-12
trust_only,revision baselines,pose_rmse,20,5.551115123125783e-17,0,1e-12
trust_only,revision baselines,trust_yield,20,5.551115123125783e-17,0,1e-12
trust_only,revision baselines,n_delivered,20,0.0,0,0.0
