policy,outliers_transmitted,outlier_weight_share,align_mean,align_median,catastrophic_share,server_theta_per_outlier
fifo,314,0.003932474848003402,0.2935958450825457,0.2509471336286161,0.09166666666666666,0.015741097789282885
lifo,247,0.016112956986346787,0.28315690284000905,0.23162818346991415,0.1,0.19321727597416877
random,293,0.004171054828096047,0.23575032986658212,0.199764037327107,0.041666666666666664,0.018590016506248454
trust_only,250,0.030217961087613557,0.32743321832337713,0.21732491141153354,0.2,0.18036756764197034
info_only,305,0.0032223635026915076,0.22132797357366257,0.19753630979062942,0.03333333333333333,0.013310414830109363
bacs_gated,296,0.0031170634094985715,0.218571294104316,0.19179390261555376,0.016666666666666666,0.013411069335078905
plus_0.30_6,289,0.0030739180640870153,0.20396597857076118,0.18770645855591825,0.008333333333333333,0.013220884529429162
tw_now,247,0.024472418485935208,0.301709217686532,0.21446265316442925,0.18333333333333332,0.18606331838289852
tw_arrival,234,0.02686301239996994,0.30948020625399847,0.21674791595708764,0.2,0.21423242426862418
tw_arrival_sub,240,0.02687292652687822,0.30654221235978624,0.2109182906985658,0.2,0.20908494699524194
