seed,n_robots,w_obs,obs_ref,gamma_rule,variant,align_rmse,pose_rmse,n_delivered,frozen_plus_0.60_5,frozen_plus_0.30_6,matches_frozen_0.60_5,matches_frozen_0.30_6
10,2,0.3,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.3,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.3,5,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.3,6,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.3,8,deferral_derived,current,0.22233019799644466,0.6260829642271373,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.3,10,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,0.45,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.45,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.45,5,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.45,6,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.45,8,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,0.45,10,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.5,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.5,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.5,5,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.5,6,deferral_derived,current,0.22233019799644466,0.6260829642271373,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.5,8,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.5,10,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.6,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.6,4,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.6,5,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.6,6,deferral_derived,current,0.18305373007912626,0.5567905367555025,32,0.1830537300791262,0.2280285760383981,True,False
10,2,0.6,8,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.6,10,deferral_derived,current,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.75,3,deferral_derived,current,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
