seed,n_robots,w_obs,obs_ref,gamma_rule,variant,align_rmse,pose_rmse,n_delivered,frozen_plus_0.60_5,frozen_plus_0.30_6,matches_frozen_0.60_5,matches_frozen_0.30_6
10,2,0.6,5,deferral_derived,hyperbolic,0.20001967954305597,0.532720911845915,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.3,6,deferral_derived,hyperbolic,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.6,5,deferral_derived,linear_deficit,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.3,6,deferral_derived,linear_deficit,0.22802857603839813,0.6502064729415701,32,0.1830537300791262,0.2280285760383981,False,True
10,2,0.6,5,deferral_derived,ordered_pair,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,2,0.3,6,deferral_derived,ordered_pair,0.19962175107560817,0.5505736970567702,32,0.1830537300791262,0.2280285760383981,False,False
10,3,0.6,5,deferral_derived,hyperbolic,0.1848926280329378,0.39827133817365057,24,0.1644312213000855,0.1602060108103143,False,False
10,3,0.3,6,deferral_derived,hyperbolic,0.16020601081031435,0.45972900166764785,24,0.1644312213000855,0.1602060108103143,False,True
10,3,0.6,5,deferral_derived,linear_deficit,0.19700252366982107,0.4606727132879572,24,0.1644312213000855,0.1602060108103143,False,False
10,3,0.3,6,deferral_derived,linear_deficit,0.1691485216589877,0.4338930879784366,24,0.1644312213000855,0.1602060108103143,False,False
10,3,0.6,5,deferral_derived,ordered_pair,0.1848926280329378,0.39827133817365057,24,0.1644312213000855,0.1602060108103143,False,False
10,3,0.3,6,deferral_derived,ordered_pair,0.15359925687342224,0.4281451724033547,24,0.1644312213000855,0.1602060108103143,False,False
11,2,0.6,5,deferral_derived,hyperbolic,0.1746961024149704,0.40031961853257464,32,0.1822760138975189,0.1746961024149704,False,True
11,2,0.3,6,deferral_derived,hyperbolic,0.1746961024149704,0.40031961853257464,32,0.1822760138975189,0.1746961024149704,False,True
11,2,0.6,5,deferral_derived,linear_deficit,0.17183549765645337,0.35944819883217166,32,0.1822760138975189,0.1746961024149704,False,False
11,2,0.3,6,deferral_derived,linear_deficit,0.17183549765645337,0.35944819883217166,32,0.1822760138975189,0.1746961024149704,False,False
11,2,0.6,5,deferral_derived,ordered_pair,0.1822760138975189,0.3335654407921905,32,0.1822760138975189,0.1746961024149704,True,False
11,2,0.3,6,deferral_derived,ordered_pair,0.1746961024149704,0.40031961853257464,32,0.1822760138975189,0.1746961024149704,False,True
11,3,0.6,5,deferral_derived,hyperbolic,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,6,deferral_derived,hyperbolic,0.16373190652501649,0.23433187898930263,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.6,5,deferral_derived,linear_deficit,0.17226958520422606,0.22896634737775828,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,6,deferral_derived,linear_deficit,0.16680664813241114,0.2340180817308288,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.6,5,deferral_derived,ordered_pair,0.1742785890305159,0.24269691595841492,24,0.2536021929275199,0.1674037411985398,False,False
11,3,0.3,6,deferral_derived,ordered_pair,0.16281667061349817,0.2404947766076334,24,0.2536021929275199,0.1674037411985398,False,False
