condition,n_robots,chosen,mean_chosen,mean_random,gain_pct_vs_random,mean_diff,mean_diff_ci95_lo,mean_diff_ci95_hi,wilcoxon_p_two_sided,p_holm,cliffs_delta,seeds_won,n_pairs
C0,2,tw_now,0.19855301764711283,0.19969788897305785,0.5733016667489522,-0.0011448713259450164,-0.030823908173229473,0.02853416552133944,0.6701805889606476,0.6701805889606476,0.06222222222222222,13,30
C0,3,tw_now,0.2951712086631217,0.23723993942454769,-24.41885180846566,0.05793126923857404,-0.018763586181134148,0.13462612465828222,0.20540969260036945,0.6162290778011084,0.04888888888888889,11,30
C0,4,tw_now,0.3514235395528493,0.20734531919777394,-69.48708604202827,0.1440782203550753,0.060374259057096355,0.22778218165305425,0.0009517744183540344,0.004758872091770172,0.38,7,30
C0,5,tw_now,0.33230191398459913,0.24853193521840436,-33.70592141109736,0.08376997876619477,-0.05046577436166719,0.21800573189405673,0.21293285302817822,0.6162290778011084,0.12666666666666668,13,30
C0,pooled,tw_now,0.29436241996192075,0.22320377070344596,-31.88057667404639,0.07115864925847477,0.02751321470605643,0.11480408381089312,0.0030311630348904954,0.012124652139561981,0.14583333333333334,44,120
C1,2,tw_now,0.3929576619659369,0.30014519374508264,-30.922523550279184,0.09281246822085422,0.006600150511643976,0.17902478593006446,0.08793856762349606,0.13978582248091698,0.18,12,30
C1,3,tw_now,0.4024125889297262,0.3528831026731419,-14.035663901555814,0.04952948625658441,-0.028799074718575103,0.12785804723174393,0.06989291124045849,0.13978582248091698,0.16444444444444445,11,30
C1,4,tw_now,0.47867838982523225,0.3239311625614912,-47.77163951750574,0.15474722726374107,0.08519009159611916,0.22430436293136297,0.0006084088236093521,0.0024336352944374084,0.3888888888888889,8,30
C1,5,tw_now,0.5676746784923179,0.27834537620165084,-103.9461500093534,0.289329302290667,0.15007873795202364,0.42857986662931036,0.001340603455901146,0.004021810367703438,0.3711111111111111,11,30
C1,pooled,tw_now,0.4604308298033033,0.3138262087953416,-46.715225465304684,0.1466046210079617,0.09732769725757673,0.19588154475834668,7.844890560578828e-07,3.922445280289414e-06,0.30333333333333334,42,120
