seed,robots,policy,temporal_decay,candidates,selected,mean_information
10,3,FIFO,True,240,5,0.41286409684915004
10,3,BACS,True,240,5,0.7946758062652106
10,3,BACS+,True,240,5,0.8091174690948527
11,3,FIFO,True,240,5,0.5673539166065573
11,3,BACS,True,240,5,0.9326562127987451
11,3,BACS+,True,240,5,0.911872307311995
12,3,FIFO,True,240,5,0.4887732418328435
12,3,BACS,True,240,5,0.9197084809870126
12,3,BACS+,True,240,5,0.8858219671505744
13,3,FIFO,True,240,5,0.27813251752389856
13,3,BACS,True,240,5,0.8580543188549903
13,3,BACS+,True,240,5,0.8909183651486119
14,3,FIFO,True,240,5,0.23113305419120148
14,3,BACS,True,240,5,0.866343188867295
14,3,BACS+,True,240,5,0.8889837452018252
15,3,FIFO,True,240,5,0.2632035179769495
15,3,BACS,True,240,5,0.9224935027290273
15,3,BACS+,True,240,5,0.9311216283392743
16,3,FIFO,True,240,5,0.4564467823469636
16,3,BACS,True,240,5,0.8650615361973321
16,3,BACS+,True,240,5,0.9020388059264933
17,3,FIFO,True,240,5,0.6675377775495924
17,3,BACS,True,240,5,0.9288802170678799
17,3,BACS+,True,240,5,0.9165728518690642
18,3,FIFO,True,240,5,0.584729164810116
18,3,BACS,True,240,5,0.9004453122982318
18,3,BACS+,True,240,5,0.9416288477145625
19,3,FIFO,True,240,5,0.45615530152732847
19,3,BACS,True,240,5,0.9321127037059004
19,3,BACS+,True,240,5,0.9247859821730243
20,3,FIFO,True,240,5,0.4742828553280515
20,3,BACS,True,240,5,0.9529763792335512
20,3,BACS+,True,240,5,0.9386634797462252
21,3,FIFO,True,240,5,0.5586601894381305
21,3,BACS,True,240,5,0.9143862975954491
21,3,BACS+,True,240,5,0.9005107873690855
22,3,FIFO,True,240,5,0.33894526141629033
22,3,BACS,True,240,5,0.8815981346053547
22,3,BACS+,True,240,5,0.8815981346053547
23,3,FIFO,True,240,5,0.5033970842533043
23,3,BACS,True,240,5,0.9779886786845754
23,3,BACS+,True,240,5,0.9714518195591555
24,3,FIFO,True,240,5,0.5004839916621677
24,3,BACS,True,240,5,0.958316518245112
24,3,BACS+,True,240,5,0.9373002202043381
25,3,FIFO,True,240,5,0.32850366339367776
25,3,BACS,True,240,5,0.8792619645702654
25,3,BACS+,True,240,5,0.8737128589289765
26,3,FIFO,True,240,5,0.514619512183351
26,3,BACS,True,240,5,0.9005368396826967
26,3,BACS+,True,240,5,0.8894511307523636
27,3,FIFO,True,240,5,0.4954961695712594
27,3,BACS,True,240,5,0.9404142663321512
27,3,BACS+,True,240,5,0.9215953511933888
28,3,FIFO,True,240,5,0.5113461182715675
28,3,BACS,True,240,5,0.9103112776519152
28,3,BACS+,True,240,5,0.9042466453541177
29,3,FIFO,True,240,5,0.3231462610756653
29,3,BACS,True,240,5,0.8706817995258582
29,3,BACS+,True,240,5,0.8751921496689491
30,3,FIFO,True,240,5,0.5457990954762282
30,3,BACS,True,240,5,0.9550868295607617
30,3,BACS+,True,240,5,0.926347658075205
31,3,FIFO,True,240,5,0.498752419549885
31,3,BACS,True,240,5,0.9272065621144214
31,3,BACS+,True,240,5,0.9447791718010791
32,3,FIFO,True,240,5,0.4495419036979901
32,3,BACS,True,240,5,0.9131247981279437
32,3,BACS+,True,240,5,0.9155370275284944
33,3,FIFO,True,240,5,0.6067206290429665
33,3,BACS,True,240,5,0.9201127454340231
33,3,BACS+,True,240,5,0.9201127454340231
34,3,FIFO,True,240,5,0.5308733323512446
34,3,BACS,True,240,5,0.8860972576080824
34,3,BACS+,True,240,5,0.8897698148424965
35,3,FIFO,True,240,5,0.6164409312670995
35,3,BACS,True,240,5,0.8820310189207708
35,3,BACS+,True,240,5,0.8861058910245866
36,3,FIFO,True,240,5,0.32481732768247756
36,3,BACS,True,240,5,0.870601684250718
36,3,BACS+,True,240,5,0.8738401221916308
37,3,FIFO,True,240,5,0.5727863536780745
37,3,BACS,True,240,5,0.9208281389422177
37,3,BACS+,True,240,5,0.913047631184243
38,3,FIFO,True,240,5,0.5060771182764483
38,3,BACS,True,240,5,0.9365913122163217
38,3,BACS+,True,240,5,0.9365913122163217
39,3,FIFO,True,240,5,0.5292184256989313
39,3,BACS,True,240,5,0.8956006287956599
39,3,BACS+,True,240,5,0.8963872651457306
