seed,robots,policy,temporal_decay,candidates,selected,mean_information
10,2,BACS+,True,240,5,0.8091174690948527
11,2,BACS+,True,240,5,0.911872307311995
12,2,BACS+,True,240,5,0.8858219671505744
13,2,BACS+,True,240,5,0.8909183651486119
14,2,BACS+,True,240,5,0.8889837452018252
15,2,BACS+,True,240,5,0.9311216283392743
16,2,BACS+,True,240,5,0.9020388059264933
17,2,BACS+,True,240,5,0.9165728518690642
18,2,BACS+,True,240,5,0.9416288477145625
19,2,BACS+,True,240,5,0.9247859821730243
20,2,BACS+,True,240,5,0.9386634797462252
21,2,BACS+,True,240,5,0.9005107873690855
22,2,BACS+,True,240,5,0.8815981346053547
23,2,BACS+,True,240,5,0.9714518195591555
24,2,BACS+,True,240,5,0.9373002202043381
25,2,BACS+,True,240,5,0.8737128589289765
26,2,BACS+,True,240,5,0.8894511307523636
27,2,BACS+,True,240,5,0.9215953511933888
28,2,BACS+,True,240,5,0.9042466453541177
29,2,BACS+,True,240,5,0.8751921496689491
30,2,BACS+,True,240,5,0.926347658075205
31,2,BACS+,True,240,5,0.9447791718010791
32,2,BACS+,True,240,5,0.9155370275284944
33,2,BACS+,True,240,5,0.9201127454340231
34,2,BACS+,True,240,5,0.8897698148424965
35,2,BACS+,True,240,5,0.8861058910245866
36,2,BACS+,True,240,5,0.8738401221916308
37,2,BACS+,True,240,5,0.913047631184243
38,2,BACS+,True,240,5,0.9365913122163217
39,2,BACS+,True,240,5,0.8963872651457306
