seed,robots,policy,temporal_decay,candidates,selected,mean_information
10,2,FIFO,True,240,5,0.41286409684915004
10,2,BACS,True,240,5,0.7946758062652106
10,2,BACS+,True,240,5,0.8091174690948527
10,3,FIFO,True,240,5,0.41286409684915004
10,3,BACS,True,240,5,0.7946758062652106
10,3,BACS+,True,240,5,0.8091174690948527
10,4,FIFO,True,240,5,0.41286409684915004
10,4,BACS,True,240,5,0.7946758062652106
10,4,BACS+,True,240,5,0.8091174690948527
10,5,FIFO,True,240,5,0.41286409684915004
10,5,BACS,True,240,5,0.7946758062652106
10,5,BACS+,True,240,5,0.8091174690948527
11,2,FIFO,True,240,5,0.5673539166065573
11,2,BACS,True,240,5,0.9326562127987451
11,2,BACS+,True,240,5,0.911872307311995
11,3,FIFO,True,240,5,0.5673539166065573
11,3,BACS,True,240,5,0.9326562127987451
11,3,BACS+,True,240,5,0.911872307311995
11,4,FIFO,True,240,5,0.5673539166065573
11,4,BACS,True,240,5,0.9326562127987451
11,4,BACS+,True,240,5,0.911872307311995
11,5,FIFO,True,240,5,0.5673539166065573
11,5,BACS,True,240,5,0.9326562127987451
11,5,BACS+,True,240,5,0.911872307311995
12,2,FIFO,True,240,5,0.4887732418328435
12,2,BACS,True,240,5,0.9197084809870126
12,2,BACS+,True,240,5,0.8858219671505744
12,3,FIFO,True,240,5,0.4887732418328435
12,3,BACS,True,240,5,0.9197084809870126
12,3,BACS+,True,240,5,0.8858219671505744
12,4,FIFO,True,240,5,0.4887732418328435
12,4,BACS,True,240,5,0.9197084809870126
12,4,BACS+,True,240,5,0.8858219671505744
12,5,FIFO,True,240,5,0.4887732418328435
12,5,BACS,True,240,5,0.9197084809870126
12,5,BACS+,True,240,5,0.8858219671505744
13,2,FIFO,True,240,5,0.27813251752389856
13,2,BACS,True,240,5,0.8580543188549903
13,2,BACS+,True,240,5,0.8909183651486119
13,3,FIFO,True,240,5,0.27813251752389856
13,3,BACS,True,240,5,0.8580543188549903
13,3,BACS+,True,240,5,0.8909183651486119
13,4,FIFO,True,240,5,0.27813251752389856
13,4,BACS,True,240,5,0.8580543188549903
13,4,BACS+,True,240,5,0.8909183651486119
13,5,FIFO,True,240,5,0.27813251752389856
13,5,BACS,True,240,5,0.8580543188549903
13,5,BACS+,True,240,5,0.8909183651486119
14,2,FIFO,True,240,5,0.23113305419120148
14,2,BACS,True,240,5,0.866343188867295
14,2,BACS+,True,240,5,0.8889837452018252
14,3,FIFO,True,240,5,0.23113305419120148
14,3,BACS,True,240,5,0.866343188867295
14,3,BACS+,True,240,5,0.8889837452018252
14,4,FIFO,True,240,5,0.23113305419120148
14,4,BACS,True,240,5,0.866343188867295
14,4,BACS+,True,240,5,0.8889837452018252
14,5,FIFO,True,240,5,0.23113305419120148
14,5,BACS,True,240,5,0.866343188867295
14,5,BACS+,True,240,5,0.8889837452018252
15,2,FIFO,True,240,5,0.2632035179769495
15,2,BACS,True,240,5,0.9224935027290273
15,2,BACS+,True,240,5,0.9311216283392743
15,3,FIFO,True,240,5,0.2632035179769495
15,3,BACS,True,240,5,0.9224935027290273
15,3,BACS+,True,240,5,0.9311216283392743
15,4,FIFO,True,240,5,0.2632035179769495
15,4,BACS,True,240,5,0.9224935027290273
15,4,BACS+,True,240,5,0.9311216283392743
15,5,FIFO,True,240,5,0.2632035179769495
15,5,BACS,True,240,5,0.9224935027290273
15,5,BACS+,True,240,5,0.9311216283392743
16,2,FIFO,True,240,5,0.4564467823469636
16,2,BACS,True,240,5,0.8650615361973321
16,2,BACS+,True,240,5,0.9020388059264933
16,3,FIFO,True,240,5,0.4564467823469636
16,3,BACS,True,240,5,0.8650615361973321
16,3,BACS+,True,240,5,0.9020388059264933
16,4,FIFO,True,240,5,0.4564467823469636
16,4,BACS,True,240,5,0.8650615361973321
16,4,BACS+,True,240,5,0.9020388059264933
16,5,FIFO,True,240,5,0.4564467823469636
16,5,BACS,True,240,5,0.8650615361973321
16,5,BACS+,True,240,5,0.9020388059264933
17,2,FIFO,True,240,5,0.6675377775495924
17,2,BACS,True,240,5,0.9288802170678799
17,2,BACS+,True,240,5,0.9165728518690642
17,3,FIFO,True,240,5,0.6675377775495924
17,3,BACS,True,240,5,0.9288802170678799
17,3,BACS+,True,240,5,0.9165728518690642
17,4,FIFO,True,240,5,0.6675377775495924
17,4,BACS,True,240,5,0.9288802170678799
17,4,BACS+,True,240,5,0.9165728518690642
17,5,FIFO,True,240,5,0.6675377775495924
17,5,BACS,True,240,5,0.9288802170678799
17,5,BACS+,True,240,5,0.9165728518690642
18,2,FIFO,True,240,5,0.584729164810116
18,2,BACS,True,240,5,0.9004453122982318
18,2,BACS+,True,240,5,0.9416288477145625
18,3,FIFO,True,240,5,0.584729164810116
18,3,BACS,True,240,5,0.9004453122982318
