policy,robots,temporal_decay,n_seeds,mean_information
BACS,2,True,30,0.9071394803956492
BACS,3,True,30,0.9071394803956492
BACS,4,True,30,0.9071394803956492
BACS,5,True,30,0.9071394803956492
BACS+,2,False,30,0.9097932039547333
BACS+,2,True,30,0.9066367728918682
BACS+,3,True,30,0.9066367728918682
BACS+,4,True,30,0.9066367728918682
BACS+,5,True,30,0.9066367728918682
FIFO,2,True,30,0.47120793381764703
FIFO,3,True,30,0.47120793381764703
FIFO,4,True,30,0.47120793381764703
FIFO,5,True,30,0.47120793381764703
